canonical_perturbation,n_targets,n_cells,n_original_labels,original_labels
AHR,1,479,1,AHR+ctrl
AHR+FEV,2,264,1,AHR+FEV
AHR+KLF1,2,412,1,AHR+KLF1
ARID1A,1,182,1,ARID1A+ctrl
ARRDC3,1,405,1,ARRDC3+ctrl
ATL1,1,305,1,ATL1+ctrl
BAK1,1,1171,2,BAK1+ctrl;ctrl+BAK1
BAK1+BCL2L11,2,153,1,BCL2L11+BAK1
BAK1+KLF1,2,323,1,KLF1+BAK1
BAK1+TMSB4X,2,267,1,TMSB4X+BAK1
BCL2L11,1,463,1,BCL2L11+ctrl
BCL2L11+TGFBR2,2,382,1,BCL2L11+TGFBR2
BCORL1,1,456,1,BCORL1+ctrl
BPGM,1,393,1,BPGM+ctrl
BPGM+SAMD1,2,240,1,BPGM+SAMD1
BPGM+ZBTB1,2,283,1,BPGM+ZBTB1
C19orf26,1,750,2,C19orf26+ctrl;ctrl+C19orf26
C19orf26+TGFBR2,2,274,1,TGFBR2+C19orf26
C3orf72,1,217,1,C3orf72+ctrl
C3orf72+FOXL2,2,49,1,C3orf72+FOXL2
CBFA2T3,1,531,2,CBFA2T3+ctrl;ctrl+CBFA2T3
CBFA2T3+FEV,2,153,1,FEV+CBFA2T3
CBFA2T3+POU3F2,2,202,1,POU3F2+CBFA2T3
CBFA2T3+PRDM1,2,109,1,PRDM1+CBFA2T3
CBL,1,538,1,CBL+ctrl
CBL+CNN1,2,288,1,CBL+CNN1
CBL+PTPN12,2,257,1,CBL+PTPN12
CBL+PTPN9,2,234,1,CBL+PTPN9
CBL+TGFBR2,2,156,1,CBL+TGFBR2
CBL+UBASH3A,2,50,1,CBL+UBASH3A
CBL+UBASH3B,2,326,1,CBL+UBASH3B
CDKN1A,1,275,2,CDKN1A+ctrl;ctrl+CDKN1A
CDKN1A+CDKN1B,2,98,1,CDKN1B+CDKN1A
CDKN1A+CDKN1C,2,80,1,CDKN1C+CDKN1A
CDKN1B,1,413,2,CDKN1B+ctrl;ctrl+CDKN1B
CDKN1B+CDKN1C,2,79,1,CDKN1C+CDKN1B
CDKN1C,1,165,1,CDKN1C+ctrl
CEBPA,1,580,2,CEBPA+ctrl;ctrl+CEBPA
CEBPA+CEBPB,2,75,1,CEBPB+CEBPA
CEBPA+CEBPE,2,240,1,CEBPE+CEBPA
CEBPA+JUN,2,70,1,JUN+CEBPA
CEBPA+KLF1,2,308,1,KLF1+CEBPA
CEBPA+ZC3HAV1,2,124,1,ZC3HAV1+CEBPA
CEBPB,1,422,2,CEBPB+ctrl;ctrl+CEBPB
CEBPB+CEBPE,2,111,1,CEBPE+CEBPB
CEBPB+FOSB,2,85,1,FOSB+CEBPB
CEBPB+JUN,2,52,1,JUN+CEBPB
CEBPB+LYL1,2,159,1,LYL1+CEBPB
CEBPB+MAPK1,2,337,1,CEBPB+MAPK1
CEBPB+OSR2,2,188,1,CEBPB+OSR2
CEBPB+PTPN12,2,266,1,CEBPB+PTPN12
CEBPE,1,1039,2,CEBPE+ctrl;ctrl+CEBPE
CEBPE+CNN1,2,194,1,CEBPE+CNN1
CEBPE+ETS2,2,320,1,ETS2+CEBPE
CEBPE+FOSB,2,142,1,FOSB+CEBPE
CEBPE+KLF1,2,389,1,CEBPE+KLF1
CEBPE+PTPN12,2,317,1,CEBPE+PTPN12
CEBPE+RUNX1T1,2,1030,1,CEBPE+RUNX1T1
CEBPE+SET,2,529,1,SET+CEBPE
CEBPE+SPI1,2,175,1,CEBPE+SPI1
CEBPE+ZC3HAV1,2,346,1,ZC3HAV1+CEBPE
CELF2,1,388,1,CELF2+ctrl
CITED1,1,169,1,CITED1+ctrl
CKS1B,1,189,1,CKS1B+ctrl
CLDN6,1,544,2,CLDN6+ctrl;ctrl+CLDN6
CLDN6+KLF1,2,215,1,KLF1+CLDN6
CNN1,1,636,2,CNN1+ctrl;ctrl+CNN1
CNN1+ETS2,2,785,1,ETS2+CNN1
CNN1+MAPK1,2,325,1,CNN1+MAPK1
CNN1+UBASH3A,2,144,1,CNN1+UBASH3A
CNN1+UBASH3B,2,355,1,UBASH3B+CNN1
CNNM4,1,376,1,CNNM4+ctrl
COL1A1,1,257,1,COL1A1+ctrl
COL2A1,1,474,2,COL2A1+ctrl;ctrl+COL2A1
COL2A1+KLF1,2,251,1,KLF1+COL2A1
CSRNP1,1,354,1,CSRNP1+ctrl
DLX2,1,606,2,DLX2+ctrl;ctrl+DLX2
DLX2+SNAI1,2,107,1,SNAI1+DLX2
DLX2+ZBTB10,2,74,1,ZBTB10+DLX2
DUSP9,1,662,1,DUSP9+ctrl
DUSP9+ETS2,2,698,1,DUSP9+ETS2
DUSP9+IGDCC3,2,323,1,DUSP9+IGDCC3
DUSP9+KLF1,2,320,1,DUSP9+KLF1
DUSP9+MAPK1,2,247,1,DUSP9+MAPK1
DUSP9+PRTG,2,238,1,DUSP9+PRTG
DUSP9+SNAI1,2,168,1,DUSP9+SNAI1
EGR1,1,261,1,EGR1+ctrl
ELMSAN1,1,783,2,ELMSAN1+ctrl;ctrl+ELMSAN1
ELMSAN1+LHX1,2,547,1,LHX1+ELMSAN1
ELMSAN1+MAP2K3,2,484,1,MAP2K3+ELMSAN1
ELMSAN1+MAP2K6,2,365,1,MAP2K6+ELMSAN1
ELMSAN1+ZBTB10,2,161,1,ZBTB10+ELMSAN1
ETS2,1,1031,2,ETS2+ctrl;ctrl+ETS2
ETS2+IGDCC3,2,365,1,ETS2+IGDCC3
ETS2+IKZF3,2,388,1,ETS2+IKZF3
ETS2+MAP7D1,2,265,1,ETS2+MAP7D1
