condition,1,2,3,4,5,6,7,8
AHR+FEV,37,27,41,29,27,36,33,34
AHR+KLF1,59,46,59,36,47,60,59,46
AHR+ctrl,59,52,62,60,59,48,60,79
ARID1A+ctrl,24,25,21,29,25,14,23,21
ARRDC3+ctrl,59,47,50,54,48,44,52,51
ATL1+ctrl,31,26,44,36,44,39,46,39
BAK1+ctrl,64,68,71,61,64,59,79,68
BCL2L11+BAK1,15,16,23,16,19,24,20,20
BCL2L11+ctrl,66,57,50,60,55,53,57,65
BCL2L11+TGFBR2,53,60,40,44,41,45,49,50
BCORL1+ctrl,62,54,63,52,51,54,53,67
BPGM+ctrl,60,42,55,46,47,44,45,54
BPGM+SAMD1,45,16,36,25,28,27,36,27
BPGM+ZBTB1,37,42,40,31,39,28,35,31
C3orf72+FOXL2,6,7,9,6,6,4,5,6
C3orf72+ctrl,31,31,30,26,25,20,32,22
C19orf26+ctrl,77,72,53,42,42,62,71,61
CBFA2T3+ctrl,43,37,31,19,32,35,48,43
CBL+CNN1,29,33,38,35,34,44,32,43
CBL+ctrl,79,70,64,58,68,71,56,72
CBL+PTPN9,33,26,23,32,25,31,33,31
CBL+PTPN12,28,42,39,26,34,33,30,25
CBL+TGFBR2,21,35,12,14,19,22,13,20
CBL+UBASH3A,9,6,2,7,3,6,9,8
CBL+UBASH3B,42,42,45,32,46,36,46,37
CDKN1A+ctrl,20,17,16,13,12,24,26,16
CDKN1B+CDKN1A,12,9,14,6,8,13,18,18
CDKN1B+ctrl,32,29,34,31,34,30,43,35
CDKN1C+CDKN1A,7,17,9,6,14,9,8,10
CDKN1C+CDKN1B,14,4,11,11,12,5,7,15
CDKN1C+ctrl,15,18,17,18,16,27,31,23
CEBPA+ctrl,39,33,39,31,54,36,49,41
CEBPB+CEBPA,13,10,11,7,8,13,5,8
CEBPB+MAPK1,40,32,42,41,48,50,36,48
CEBPB+ctrl,41,29,37,20,20,23,29,41
CEBPB+OSR2,26,26,23,25,12,31,16,29
CEBPB+PTPN12,31,35,26,38,35,40,31,30
CEBPE+CEBPA,31,27,35,24,24,35,29,35
CEBPE+CEBPB,19,12,11,12,17,11,9,20
CEBPE+CNN1,26,33,23,22,20,23,21,26
CEBPE+KLF1,55,50,46,38,56,47,53,44
CEBPE+ctrl,55,60,58,65,51,57,66,61
CEBPE+PTPN12,49,35,45,46,42,29,34,37
CEBPE+RUNX1T1,128,130,125,142,126,105,139,135
CEBPE+SPI1,14,21,25,18,23,25,22,27
CELF2+ctrl,59,35,51,58,40,47,49,49
CITED1+ctrl,17,15,21,22,23,20,24,27
CKS1B+ctrl,17,34,30,22,22,19,23,22
CLDN6+ctrl,31,31,31,36,30,41,40,41
CNN1+MAPK1,50,45,39,35,37,42,30,47
CNN1+ctrl,36,34,21,37,19,22,29,38
CNN1+UBASH3A,19,16,18,12,16,18,23,22
CNNM4+ctrl,52,44,47,53,54,46,45,35
COL1A1+ctrl,37,29,40,29,34,24,34,30
COL2A1+ctrl,29,25,26,22,40,31,39,35
CSRNP1+ctrl,43,51,51,43,31,39,51,45
DLX2+ctrl,46,34,35,45,46,37,40,33
DUSP9+ETS2,97,98,85,79,97,78,85,79
DUSP9+IGDCC3,40,39,38,49,36,43,37,41
DUSP9+KLF1,60,37,34,38,35,37,49,30
DUSP9+MAPK1,35,30,32,27,30,32,29,32
DUSP9+ctrl,86,94,77,89,84,65,83,84
DUSP9+PRTG,33,17,50,36,28,24,22,28
DUSP9+SNAI1,20,23,21,19,18,17,26,24
EGR1+ctrl,38,28,37,29,28,35,32,34
ELMSAN1+ctrl,46,53,36,35,35,44,51,53
ETS2+CEBPE,42,35,48,40,31,30,50,44
ETS2+CNN1,93,102,109,96,89,104,100,92
ETS2+IGDCC3,59,36,47,38,57,36,49,43
ETS2+IKZF3,40,51,52,49,51,39,57,49
ETS2+MAP7D1,31,40,32,34,34,30,30,34
ETS2+MAPK1,50,55,61,49,47,57,61,52
ETS2+ctrl,56,48,40,46,42,42,48,53
ETS2+PRTG,49,50,46,32,42,52,34,49
FEV+CBFA2T3,23,13,20,18,15,28,15,21
FEV+ISL2,34,25,34,38,41,30,38,32
FEV+MAP7D1,27,31,37,25,25,28,37,36
FEV+ctrl,24,21,10,16,22,21,31,28
FOSB+CEBPB,11,7,9,11,13,12,11,11
FOSB+CEBPE,20,14,20,12,9,22,24,21
FOSB+IKZF3,27,19,26,30,17,24,29,32
FOSB+ctrl,65,62,76,53,52,54,68,72
FOSB+OSR2,35,47,40,44,35,47,41,35
FOSB+PTPN12,39,37,43,37,30,45,29,31
FOSB+UBASH3B,47,49,44,40,44,38,50,51
FOXA1+FOXF1,29,27,24,24,34,31,30,38
FOXA1+FOXL2,24,22,28,14,18,25,20,28
FOXA1+HOXB9,36,39,33,31,33,31,37,26
FOXA1+ctrl,61,52,51,35,58,51,61,57
FOXA3+FOXA1,28,22,20,25,23,17,24,22
FOXA3+FOXF1,17,14,19,25,12,20,19,20
FOXA3+FOXL2,17,13,12,18,7,20,15,11
FOXA3+HOXB9,33,47,37,38,46,35,31,34
FOXA3+ctrl,51,53,56,48,51,54,38,58
FOXF1+FOXL2,29,30,24,14,17,19,22,18
FOXF1+HOXB9,30,21,19,23,16,28,13,23
FOXF1+ctrl,54,52,64,60,40,60,64,54
FOXL2+HOXB9,14,12,15,9,10,10,8,9
FOXL2+MEIS1,20,24,20,18,28,22,23,22
FOXL2+ctrl,46,42,36,36,32,32,39,40
FOXO4+ctrl,28,20,13,26,27,23,26,26
GLB1L2+ctrl,46,50,52,49,36,39,56,50
HES7+ctrl,20,17,17,13,18,9,15,13
HK2+ctrl,32,27,34,33,33,29,36,25
HNF4A+ctrl,32,26,20,25,26,29,22,22
HOXA13+ctrl,26,25,45,17,34,18,30,35
HOXB9+ctrl,49,48,45,40,57,45,34,38
HOXC13+ctrl,25,18,20,17,8,21,15,27
IER5L+ctrl,18,24,25,18,5,15,14,13
IGDCC3+MAPK1,42,33,32,27,41,51,37,30
