condition,canonical_perturbation,guide_identity,n_cells
AHR+FEV,AHR+FEV,AHR_FEV__AHR_FEV,264
AHR+KLF1,AHR+KLF1,AHR_KLF1__AHR_KLF1,412
AHR+ctrl,AHR,AHR_NegCtrl0__AHR_NegCtrl0,479
ARID1A+ctrl,ARID1A,ARID1A_NegCtrl0__ARID1A_NegCtrl0,182
ARRDC3+ctrl,ARRDC3,ARRDC3_NegCtrl0__ARRDC3_NegCtrl0,405
ATL1+ctrl,ATL1,ATL1_NegCtrl0__ATL1_NegCtrl0,305
BAK1+ctrl,BAK1,BAK1_NegCtrl0__BAK1_NegCtrl0,534
BCL2L11+BAK1,BAK1+BCL2L11,BCL2L11_BAK1__BCL2L11_BAK1,153
BCL2L11+TGFBR2,BCL2L11+TGFBR2,BCL2L11_TGFBR2__BCL2L11_TGFBR2,382
BCL2L11+ctrl,BCL2L11,BCL2L11_NegCtrl0__BCL2L11_NegCtrl0,463
BCORL1+ctrl,BCORL1,BCORL1_NegCtrl0__BCORL1_NegCtrl0,456
BPGM+SAMD1,BPGM+SAMD1,BPGM_SAMD1__BPGM_SAMD1,240
BPGM+ZBTB1,BPGM+ZBTB1,BPGM_ZBTB1__BPGM_ZBTB1,283
BPGM+ctrl,BPGM,BPGM_NegCtrl0__BPGM_NegCtrl0,393
C19orf26+ctrl,C19orf26,C19orf26_NegCtrl0__C19orf26_NegCtrl0,480
C3orf72+FOXL2,C3orf72+FOXL2,C3orf72_FOXL2__C3orf72_FOXL2,49
C3orf72+ctrl,C3orf72,C3orf72_NegCtrl0__C3orf72_NegCtrl0,217
CBFA2T3+ctrl,CBFA2T3,CBFA2T3_NegCtrl0__CBFA2T3_NegCtrl0,288
CBL+CNN1,CBL+CNN1,CBL_CNN1__CBL_CNN1,288
CBL+PTPN12,CBL+PTPN12,CBL_PTPN12__CBL_PTPN12,257
CBL+PTPN9,CBL+PTPN9,CBL_PTPN9__CBL_PTPN9,234
CBL+TGFBR2,CBL+TGFBR2,CBL_TGFBR2__CBL_TGFBR2,156
CBL+UBASH3A,CBL+UBASH3A,CBL_UBASH3A__CBL_UBASH3A,50
CBL+UBASH3B,CBL+UBASH3B,CBL_UBASH3B__CBL_UBASH3B,326
CBL+ctrl,CBL,CBL_NegCtrl0__CBL_NegCtrl0,538
CDKN1A+ctrl,CDKN1A,CDKN1A_NegCtrl0__CDKN1A_NegCtrl0,144
CDKN1B+CDKN1A,CDKN1A+CDKN1B,CDKN1B_CDKN1A__CDKN1B_CDKN1A,98
CDKN1B+ctrl,CDKN1B,CDKN1B_NegCtrl0__CDKN1B_NegCtrl0,268
CDKN1C+CDKN1A,CDKN1A+CDKN1C,CDKN1C_CDKN1A__CDKN1C_CDKN1A,80
CDKN1C+CDKN1B,CDKN1B+CDKN1C,CDKN1C_CDKN1B__CDKN1C_CDKN1B,79
CDKN1C+ctrl,CDKN1C,CDKN1C_NegCtrl0__CDKN1C_NegCtrl0,165
CEBPA+ctrl,CEBPA,CEBPA_NegCtrl0__CEBPA_NegCtrl0,322
CEBPB+CEBPA,CEBPA+CEBPB,CEBPB_CEBPA__CEBPB_CEBPA,75
CEBPB+MAPK1,CEBPB+MAPK1,CEBPB_MAPK1__CEBPB_MAPK1,337
CEBPB+OSR2,CEBPB+OSR2,CEBPB_OSR2__CEBPB_OSR2,188
CEBPB+PTPN12,CEBPB+PTPN12,CEBPB_PTPN12__CEBPB_PTPN12,266
CEBPB+ctrl,CEBPB,CEBPB_NegCtrl0__CEBPB_NegCtrl0,240
CEBPE+CEBPA,CEBPA+CEBPE,CEBPE_CEBPA__CEBPE_CEBPA,240
CEBPE+CEBPB,CEBPB+CEBPE,CEBPE_CEBPB__CEBPE_CEBPB,111
CEBPE+CNN1,CEBPE+CNN1,CEBPE_CNN1__CEBPE_CNN1,194
CEBPE+KLF1,CEBPE+KLF1,CEBPE_KLF1__CEBPE_KLF1,389
CEBPE+PTPN12,CEBPE+PTPN12,CEBPE_PTPN12__CEBPE_PTPN12,317
CEBPE+RUNX1T1,CEBPE+RUNX1T1,CEBPE_RUNX1T1__CEBPE_RUNX1T1,1030
CEBPE+SPI1,CEBPE+SPI1,CEBPE_SPI1__CEBPE_SPI1,175
CEBPE+ctrl,CEBPE,CEBPE_NegCtrl0__CEBPE_NegCtrl0,473
CELF2+ctrl,CELF2,CELF2_NegCtrl0__CELF2_NegCtrl0,388
CITED1+ctrl,CITED1,CITED1_NegCtrl0__CITED1_NegCtrl0,169
CKS1B+ctrl,CKS1B,CKS1B_NegCtrl0__CKS1B_NegCtrl0,189
CLDN6+ctrl,CLDN6,CLDN6_NegCtrl0__CLDN6_NegCtrl0,281
CNN1+MAPK1,CNN1+MAPK1,CNN1_MAPK1__CNN1_MAPK1,325
CNN1+UBASH3A,CNN1+UBASH3A,CNN1_UBASH3A__CNN1_UBASH3A,144
CNN1+ctrl,CNN1,CNN1_NegCtrl0__CNN1_NegCtrl0,236
CNNM4+ctrl,CNNM4,CNNM4_NegCtrl0__CNNM4_NegCtrl0,376
COL1A1+ctrl,COL1A1,COL1A1_NegCtrl0__COL1A1_NegCtrl0,257
COL2A1+ctrl,COL2A1,COL2A1_NegCtrl0__COL2A1_NegCtrl0,247
CSRNP1+ctrl,CSRNP1,CSRNP1_NegCtrl0__CSRNP1_NegCtrl0,354
DLX2+ctrl,DLX2,DLX2_NegCtrl0__DLX2_NegCtrl0,316
DUSP9+ETS2,DUSP9+ETS2,DUSP9_ETS2__DUSP9_ETS2,698
DUSP9+IGDCC3,DUSP9+IGDCC3,DUSP9_IGDCC3__DUSP9_IGDCC3,323
DUSP9+KLF1,DUSP9+KLF1,DUSP9_KLF1__DUSP9_KLF1,320
DUSP9+MAPK1,DUSP9+MAPK1,DUSP9_MAPK1__DUSP9_MAPK1,247
DUSP9+PRTG,DUSP9+PRTG,DUSP9_PRTG__DUSP9_PRTG,238
DUSP9+SNAI1,DUSP9+SNAI1,DUSP9_SNAI1__DUSP9_SNAI1,168
DUSP9+ctrl,DUSP9,DUSP9_NegCtrl0__DUSP9_NegCtrl0,662
EGR1+ctrl,EGR1,EGR1_NegCtrl0__EGR1_NegCtrl0,261
