canonical_perturbation,n_targets,pc1,pc2,pc3
ctrl,0,-0.6674753939036568,2.548014986478865,-0.1403511060993005
AHR,1,-0.20503869595907664,0.1403457399220859,0.41541357943021506
ARID1A,1,-0.41717228485120184,-1.2282858984328457,0.7501069312161587
ARRDC3,1,-0.7914306756154269,1.5897768796123133,-0.1139930007999016
ATL1,1,-2.052805323642541,-1.8865257075530535,0.16089266981820644
BAK1,1,-0.8216218406524364,2.6496181220728174,-0.1655615350502051
BCL2L11,1,-0.963101605236584,2.3315904469449054,-0.23457789970077003
BCORL1,1,-0.45346943624013014,1.975493471784166,0.2411664983964253
BPGM,1,-2.40657418815071,0.22033475230014857,-1.0891956296580732
C19orf26,1,-1.3456862452893372,1.1128512003139837,0.06998851016671595
C3orf72,1,0.8719390302733548,-0.20711488767737277,1.4469342607364422
CBFA2T3,1,0.9452626568090747,2.2159942481207717,0.517457543023119
CBL,1,-2.008831464779208,0.3321508974733724,-0.6683510674739794
CDKN1A,1,-1.3403950964844797,-0.649970617399047,-0.1887465413959485
CDKN1B,1,-1.206502093770742,-0.08308941366860667,-0.14971086522762672
CDKN1C,1,-1.0345242389739828,-0.5313946053730254,-0.05249812088844462
CEBPA,1,11.106790638439941,-2.6449227122878964,-3.4562162296681294
CEBPB,1,4.493479990901827,0.2269991976962619,-0.5482295702384667
CEBPE,1,5.327614507776852,0.5805747356614185,-1.4302623278638502
CELF2,1,1.042260602795575,2.2236926935345487,-0.5733376457998101
CITED1,1,0.5792117876344227,-0.08689967792690151,1.0291526351909133
CKS1B,1,-1.264887690413618,-0.11542074651743317,-0.30491348413981595
CLDN6,1,-2.2189048228445682,-1.690446209767034,-0.36350216713428873
CNN1,1,-2.783858329482891,0.083583054065435,-1.2875851540732008
CNNM4,1,-1.1124861466833418,1.144454041052866,-0.41041940521073295
COL1A1,1,1.7355109584107795,1.179959952222827,1.1735196647983974
COL2A1,1,1.3551817962964527,2.3142411120356785,1.2389640429906106
CSRNP1,1,-0.8782270764438427,3.239369911036608,-0.47408553732957304
DLX2,1,0.5912564359485655,1.9896085115347295,1.0009864924876686
DUSP9,1,-2.706285947898733,-1.519720188790524,-0.11580104751344485
EGR1,1,-0.7465561874834844,0.5538805474127304,-0.10702114943485713
ELMSAN1,1,-1.5093310194331917,2.5750628656984285,-0.9118182553145882
ETS2,1,1.5282212002294677,2.8877783275438538,0.4575205127210419
FEV,1,-1.5430789660906263,0.18302792276554902,0.008412437813946584
FOSB,1,1.926155796637705,2.3694240931265096,-0.8105546745131453
FOXA1,1,-0.5970490131869476,1.0204144358744998,0.7024444928502145
FOXA3,1,-0.0934673240629828,0.3124740284782768,1.1267846737158689
FOXF1,1,-0.09375988567390611,1.766327694606178,0.6226174331934924
FOXL2,1,0.9309260153867129,0.842092670267941,1.3090372317897487
FOXO4,1,-0.18185557128581145,-0.15291835841116366,0.7239540092598435
GLB1L2,1,-0.4811527936331058,1.2728231602232525,0.198390209049033
HES7,1,3.522982547539006,-0.7421657958714891,1.9348542525190995
HK2,1,-0.9585469165356931,1.656262480551077,-0.11289546615863673
HNF4A,1,-0.00836529353596674,-0.197769712238937,0.6419164928511063
HOXA13,1,1.3158646551748863,-2.3797570155436882,2.3766787814665005
HOXB9,1,0.7436436411167354,0.6366394881064237,1.057774090255278
HOXC13,1,0.33205851572195755,-1.0943664873033792,1.588632868746838
IER5L,1,-1.196371966653877,-0.8561147334219967,0.06712278207855121
IGDCC3,1,-1.762448780687467,-0.2598158633591382,-0.19504732978285907
IKZF3,1,-2.482411177978492,-4.1580988575501605,-1.3612208415584826
IRF1,1,-0.9507604669693891,1.3429253330360762,0.030532545058119503
ISL2,1,0.008770146862464126,2.261880368946178,0.5137831880456224
JUN,1,-0.0409309430917611,0.17776283088585582,0.7942055619727821
KIAA1804,1,-0.4107082890751675,1.2954206471996643,-0.12817450356285984
KIF18B,1,-0.9271454515504802,1.3657897277810886,-0.0158683531464445
KIF2C,1,-0.741548974030894,2.0566272328585624,-0.01054781549995295
KLF1,1,-2.063101297007286,1.7431141917971245,-1.5117671360475455
KMT2A,1,-0.8502550816644004,1.5474124298175524,-0.1299394107427638
LHX1,1,0.5110019849632063,1.6046873656153446,0.9543475802306297
LYL1,1,-0.9726316383598835,1.5751190714193197,-0.020656900698143306
MAML2,1,-1.114973690371561,2.730913071958101,-0.4062702002452016
MAP2K3,1,-1.2269617903523615,3.3906886155248634,-0.7651837381330133
