canonical_perturbation,max_rms_change,min_lolo_effect_rms,max_lolo_effect_rms,full_effect_rms
AHR,0.004145510693926988,0.04946071163023907,0.051711289808259134,0.050663211181435665
ARID1A,0.0071308643520763436,0.07208276553003987,0.07693824027291853,0.07501095994016187
ARRDC3,0.004114799829728354,0.022062678590093626,0.022937877395030486,0.02212585084328619
ATL1,0.005542737657727859,0.07066253852960867,0.07306008593187685,0.07143835402332963
BAK1,0.002179311572355676,0.01528716561211825,0.015799378653503,0.015430589834696216
BCL2L11,0.0037592564451963554,0.012928930995498583,0.013510163589477505,0.012917489675788993
BCORL1,0.0035992571156446608,0.025734689182389085,0.026700660814322905,0.025938605636088925
BPGM,0.0038273427923089082,0.05162068431277134,0.052674753157696055,0.05206176412000488
C19orf26,0.003100127878625614,0.029733969399240005,0.030501745381864506,0.03003736013945929
C3orf72,0.006768963698668104,0.055985861637169676,0.05903557974569527,0.057678502350466794
CBFA2T3,0.0038873209208332604,0.035122084282066236,0.03668026557206105,0.035845006829301
CBL,0.0033341459999780684,0.04298028369977378,0.04380909670360554,0.04323833434409928
CDKN1A,0.00528225466114645,0.055555997633185174,0.06002749026878965,0.05816245219650405
CDKN1B,0.004183973894987349,0.044850751881187347,0.04727053003714543,0.04571676912134065
CDKN1C,0.006210965417139157,0.057392629532703604,0.061690751565996856,0.05938260825857306
CEBPA,0.004989257678313928,0.18823071718620674,0.191620073833306,0.19002132661994947
CEBPB,0.005836851552270077,0.08592784408278974,0.09132802617346755,0.08885370597503947
CEBPE,0.003804328226337648,0.09555323503029287,0.09928737254603225,0.09684306015774653
CELF2,0.004607568112257283,0.03462704927489721,0.036462363898249556,0.03540443566850392
CITED1,0.007980918664928678,0.054550766666758545,0.059980471582493734,0.057497915163621086
CKS1B,0.006720650309126697,0.06078224292647191,0.06338931582050743,0.06196278209502682
CLDN6,0.0038507556493284144,0.07269252609303883,0.07433224409659646,0.07334292406034074
CNN1,0.0029609765196014414,0.056717620813670676,0.057566097771055064,0.05701476764034298
CNNM4,0.004388113905207483,0.04328925692934049,0.04406131675634852,0.04356337057501023
COL1A1,0.005149878912828862,0.07581272006472828,0.07691140838508649,0.07627289596412878
COL2A1,0.003772477377120587,0.06760078742506087,0.06956807235260042,0.06861529306674699
CSRNP1,0.004112409997606989,0.024399790689470673,0.025073219812993413,0.024567088827544846
DLX2,0.003438557119480836,0.04335306169792682,0.04465602564397383,0.04390640738769811
DUSP9,0.0036356908692060977,0.07639339494619685,0.07789836784555447,0.07689080643322192
EGR1,0.004864386112225176,0.03797610700285718,0.039632255923430136,0.03826831848274656
ELMSAN1,0.0025496380414801816,0.028007805835193574,0.028766326293109556,0.028232418904229197
ETS2,0.002839273623969586,0.047152329231350945,0.04866487732668232,0.04753227852517768
FEV,0.003548318174686611,0.0718966921560594,0.07286397330625491,0.07229247569418674
FOSB,0.0038535420272790785,0.04685490394829067,0.047637377214790055,0.0470527887576369
FOXA1,0.002915248650981569,0.033145808144050756,0.03423839562254342,0.03341356938805901
FOXA3,0.004100772117241944,0.043259266398170335,0.04405439940330185,0.043549788333925844
FOXF1,0.002961008315347606,0.022643685295788526,0.02387581200824875,0.0231011415320655
FOXL2,0.003749459221823479,0.04574617661367805,0.04742490268833147,0.046332807603750976
FOXO4,0.00696643310688521,0.056974178437348665,0.05958938584669638,0.0581452223939622
GLB1L2,0.004077802145500904,0.03734591427737053,0.038965647563359934,0.03778476471157656
HES7,0.01171616316745441,0.09687831509673406,0.1051399933085783,0.10170768157232189
HK2,0.004989678091115192,0.024929356908715474,0.02673944816106499,0.025473595596127146
HNF4A,0.006154042436152621,0.06504681136511963,0.06890166485485673,0.06713551216287558
HOXA13,0.008733429891010351,0.08817970426776756,0.094746818123485,0.0919695855151722
HOXB9,0.004007049470081205,0.0452867378834935,0.0465932060300005,0.04564599997850331
HOXC13,0.005343375003707878,0.0659293545346629,0.06917671900550174,0.0675788732105033
IER5L,0.005537840092754588,0.05516442167339581,0.05661850944444103,0.055678136639586165
IGDCC3,0.003752160284882261,0.05371154232089816,0.05525481401035026,0.054442614390689946
IKZF3,0.004244339035590708,0.10751478581569748,0.11066214050511754,0.10844843608997329
IRF1,0.004960263297133958,0.07264538248967758,0.07502517596329272,0.07340603358355122
ISL2,0.003806782363584551,0.020051519289959442,0.02146874540857721,0.020467707123236416
JUN,0.006617453578417178,0.0540569776417204,0.05731601427308821,0.05546602245719862
KIAA1804,0.0059441241405210135,0.02937264561750115,0.031180673654075328,0.030079896767379117
KIF18B,0.005468170843487141,0.026176080158860072,0.0282995843424437,0.026395425417980383
KIF2C,0.0033830336178909386,0.019175559315338948,0.020088697523970838,0.019409725067093188
KLF1,0.0018798442173128807,0.05660848417171546,0.057130758644189254,0.056845930250141195
KMT2A,0.006010486323680986,0.02723583443712368,0.028766191016439593,0.02744700029259179
LHX1,0.005363281203766924,0.05257830373463395,0.05353529033960108,0.05273340169566357
LYL1,0.004133403961798574,0.03031895805786355,0.03065078076868879,0.030289017578911417
MAML2,0.0035538792798346522,0.019604589616433608,0.020775100469691003,0.02001201481692529
MAP2K3,0.0031265066373790716,0.03048414991680856,0.031709865787739266,0.03121231718438122
MAP2K6,0.0026506645893987282,0.023126221639848614,0.0241505439523151,0.02356989410348769
MAP4K3,0.004886912560032241,0.019524752966663436,0.021197886140041124,0.01978888096583372
MAP4K5,0.004809182377502286,0.021026802323234374,0.02228444807378447,0.021117152158335442
MAP7D1,0.0031142253700101913,0.022181805245203308,0.023213560736951196,0.022367969235470544
MAPK1,0.0032639724954661342,0.06777900946095794,0.06883043483260357,0.06836102597743964
MEIS1,0.003145767563858298,0.023855475266469663,0.02472892267388053,0.02405040104948162
MIDN,0.006114571009689698,0.06549363141788579,0.06778260654749003,0.06611664796944042
NCL,0.005905221867677478,0.022919671086893023,0.02389866286970021,0.02283230153244786
NIT1,0.007926675271418241,0.058123537528090144,0.06140434340013396,0.060015777288691154
OSR2,0.0030128288205388473,0.05751838588501149,0.058532732837514416,0.057905043090385674
PLK4,0.009292247603560004,0.025223742525767735,0.03010178025664998,0.026855796616736434
POU3F2,0.004748829140411853,0.03962008243457399,0.040980428939779406,0.04022271677125232
PRDM1,0.005887641938713536,0.08551486345047922,0.0888308274226415,0.086704996000722
PRTG,0.0037139081339220546,0.06097669297957205,0.06191683437266434,0.061375967035079894
PTPN1,0.00478216510316435,0.0664728658336828,0.0680285963644128,0.06700768757942702
PTPN12,0.004116985473900381,0.04230019063436019,0.04437721781245204,0.04354726229063518
PTPN13,0.005559417086988085,0.04072601478184654,0.04245720678566697,0.04123216672625359
PTPN9,0.004163694243594918,0.03413802431689855,0.03563880642482314,0.034845896071503006
RHOXF2BB,0.006035865358382587,0.06970393836626719,0.07167498192201831,0.07031708596410391
RREB1,0.005023267568993324,0.04112682227885214,0.04416994387866694,0.04247159478928651
RUNX1T1,0.003157619088016501,0.01674709420279883,0.0173488334282961,0.01675256522876749
S1PR2,0.004086364511459198,0.05511357938587553,0.05772898884355127,0.05610378063593403
SAMD1,0.004182510091666599,0.05318233321849402,0.05481142218779298,0.05383354900347501
SET,0.0028162683961214055,0.06965692262714052,0.07084633417018867,0.07015378591376682
SGK1,0.00395391229164636,0.04955018978677487,0.05060529650973007,0.049891622808085956
SLC38A2,0.0046994998168817005,0.020984571837030577,0.02183894466100073,0.021131290802911647
SLC4A1,0.0028504115897253993,0.0516150063768141,0.05259092566972582,0.05200837395708983
SLC6A9,0.004188095297297391,0.03561063419465,0.036573984488592254,0.03590547717835196
SNAI1,0.004456276014838875,0.046992348878925984,0.049304251625878585,0.047997759852240224
SPI1,0.0046926931261037546,0.08989909125006819,0.09287813239667375,0.0914001276077545
STIL,0.005698166527311005,0.025354037431983008,0.028334354452777537,0.02666991876242673
TBX2,0.0034253928550927746,0.056689690910245755,0.05755044229208934,0.05705860207465798
TBX3,0.0034290596161556017,0.06297657257996227,0.06409158180829103,0.0635865147257009
TGFBR2,0.0033305395090699593,0.018236829160368673,0.0188323793214537,0.01821156712092497
TMSB4X,0.0037379156442838984,0.036433141256878875,0.036811689080414677,0.03645499779070928
TP73,0.006694041639603258,0.12614677399294402,0.12970918472529588,0.12828832351693154
TSC22D1,0.004023737011353834,0.026338626511936095,0.027403318929235705,0.02655340484143908
UBASH3A,0.003016192595011941,0.01713901895969643,0.018846062988865948,0.01793003409710168
UBASH3B,0.002540184993926968,0.03151830225897382,0.03258394556158667,0.03198569576079727
ZBTB1,0.00367064141680991,0.056251877862059096,0.05692305298518269,0.05659050962465175
ZBTB10,0.008539403226907263,0.08109388744124868,0.08713830007624007,0.08339590674954174
ZBTB25,0.003218679897566942,0.039244814649339266,0.04111389587031273,0.03998337343485157
ZC3HAV1,0.004708470112208766,0.02425294694309379,0.025770560670684672,0.024918962409296926
ZNF318,0.00336492588597864,0.023890751537199797,0.0249697174336807,0.024252554691771025
AHR+FEV,0.008218804699528006,0.053125318751390795,0.056973383977491125,0.05425585365492571
AHR+KLF1,0.0059212583372729565,0.03437348502843329,0.03560330127714292,0.03460734318380862
BAK1+BCL2L11,0.007607915322885858,0.02166823831050024,0.023374751464782937,0.02109050141938294
BAK1+KLF1,0.004928240233276994,0.014575590055153876,0.015428023130950248,0.01416878132402218
BAK1+TMSB4X,0.006765156884448044,0.01600625924513084,0.01711446891645131,0.0154457742802174
BCL2L11+TGFBR2,0.006529670131370537,0.015656417785682643,0.016773843063543094,0.015283825361154496
BPGM+SAMD1,0.00851353936434439,0.028810490351249145,0.030656472849855513,0.029021374849093586
BPGM+ZBTB1,0.0075015020005772225,0.030622141562841054,0.034579330344348305,0.03150893059618187
C19orf26+TGFBR2,0.006960821585783496,0.030146752392185314,0.0339283284901423,0.03196538895115798
C3orf72+FOXL2,0.01718687055946664,0.061043246917487644,0.0636627080191694,0.060443909571769136
CBFA2T3+FEV,0.010374737334521862,0.07218993706553936,0.07850846862369389,0.07430203012706789
CBFA2T3+POU3F2,0.009188099423674633,0.03181606348926872,0.03422772871192302,0.03222968972121314
CBFA2T3+PRDM1,0.015896915085399366,0.05601478361865932,0.06119878189182994,0.05724925461414639
CBL+CNN1,0.00690013663106558,0.04346052193578292,0.046841392338121186,0.04440410561006236
CBL+PTPN12,0.007349671126586002,0.028219606519331714,0.029859631742782194,0.028224010583962105
CBL+PTPN9,0.007563631906191307,0.028702066883837273,0.03171366158209567,0.029117846350433886
CBL+TGFBR2,0.009046927334513578,0.024546940228360934,0.025924256056090986,0.02397984990528617
CBL+UBASH3A,0.01885562530147637,0.04985728343467782,0.05796002970015407,0.05141689760626969
CBL+UBASH3B,0.006130701926284723,0.04497232296644564,0.0466044082879251,0.04518136069494105
CDKN1A+CDKN1B,0.010642922557316708,0.03208123917215915,0.037469959886351385,0.033761082694908864
CDKN1A+CDKN1C,0.013242759904471409,0.046103048359172,0.05339465645738593,0.048724551231149445
CDKN1B+CDKN1C,0.014021959398364429,0.04325565414158895,0.04981944704746548,0.04624685125667132
CEBPA+CEBPB,0.018565421477146838,0.09716422669002606,0.11304893782041936,0.10568248152288494
CEBPA+CEBPE,0.009648793900417603,0.0971055831426401,0.10279756614978267,0.1004774138516169
CEBPA+JUN,0.019688209684429255,0.06391047491673815,0.06799775105586565,0.06378491278052559
CEBPA+KLF1,0.008281821906906125,0.07036140931024182,0.07477285727090467,0.07183394715059067
CEBPA+ZC3HAV1,0.015885846600183974,0.041968289788126195,0.05032408218788367,0.04560019847920651
CEBPB+CEBPE,0.012956182944546727,0.06571519200708431,0.07019517787496309,0.06614894320996881
CEBPB+FOSB,0.014787205237337706,0.06264672355617402,0.06984345315107379,0.06377389157879998
CEBPB+JUN,0.021079944807996003,0.05173976951133987,0.05527271265423727,0.05094024023967118
CEBPB+LYL1,0.009372509859591253,0.04726191195768744,0.05243064903194199,0.04948282314378893
CEBPB+MAPK1,0.008038181636247433,0.05204624785558993,0.0584580516701273,0.05506218285624698
CEBPB+OSR2,0.011173940916902972,0.04012327481943795,0.04752811995139284,0.042633509077593126
CEBPB+PTPN12,0.008138872341860708,0.05013967580249564,0.05376292395158627,0.052147384148935785
CEBPE+CNN1,0.007429788781065322,0.057822751379819654,0.06216521474952461,0.05970799432529215
CEBPE+ETS2,0.006489116678266788,0.04677757271171226,0.050599336913064515,0.04806779263970275
CEBPE+FOSB,0.012318982548064192,0.046261323138663796,0.04932561344083806,0.04661504544111416
CEBPE+KLF1,0.005452023797831981,0.07047000504022231,0.0748430410568772,0.07171913951389401
CEBPE+PTPN12,0.007725609162351689,0.060934787214963856,0.06656949812119058,0.06259172936668066
CEBPE+RUNX1T1,0.005237693546983882,0.04805432846603411,0.05294010956821631,0.04999762407380441
CEBPE+SET,0.005466578403310401,0.08024211358075695,0.08442560681069278,0.0820011399144982
CEBPE+SPI1,0.012814236031000391,0.05451342898344752,0.05611811224331178,0.05432556725252185
CEBPE+ZC3HAV1,0.006708270910055701,0.06513207610905818,0.07038789727004177,0.0662762551707942
CLDN6+KLF1,0.008833517338399115,0.03880688760306377,0.044172611123616146,0.039934192474369294
CNN1+ETS2,0.004864784817582123,0.023161845176504027,0.024289217031505078,0.023296656680816864
CNN1+MAPK1,0.0066947295489460925,0.034358328766927806,0.03583810506592045,0.03434388511378096
CNN1+UBASH3A,0.009079903655958711,0.05768824929209735,0.0638042723283719,0.060415957567409716
CNN1+UBASH3B,0.006074509228979675,0.03968761232468811,0.04159245854322322,0.040223959390483975
COL2A1+KLF1,0.006282925030127672,0.04221214266650193,0.044394311189173884,0.04317568235425015
DLX2+SNAI1,0.012514591799864307,0.04503401053095032,0.05001268819399126,0.046421025696162375
DLX2+ZBTB10,0.018163186495673587,0.061827572053864535,0.07465094178975022,0.0654453930706882
DUSP9+ETS2,0.0051392371968304856,0.03660499257768225,0.038351341423187274,0.03703537653717583
DUSP9+IGDCC3,0.0066742966300491315,0.03340294300229885,0.03692359645082396,0.03499685579333492
DUSP9+KLF1,0.005907398882364993,0.032915097632481814,0.03369730808566879,0.032899781213136775
DUSP9+MAPK1,0.006825913884551166,0.05540298171426493,0.058078138218942026,0.05593358518961889
DUSP9+PRTG,0.008737676180903356,0.036919757462434706,0.03875896506533823,0.03720737202063614
DUSP9+SNAI1,0.01019211581179037,0.06246225755090686,0.0677492737959354,0.06354523888320947
ELMSAN1+LHX1,0.006387253175684354,0.02373953133650478,0.025219419683219287,0.023669532313522947
ELMSAN1+MAP2K3,0.005558763542015728,0.021684032237774115,0.022927471928700708,0.02166648838595728
ELMSAN1+MAP2K6,0.005104169432035066,0.017884369473479485,0.018928429102685645,0.017979615842554118
ELMSAN1+ZBTB10,0.012644539021142298,0.037580675361006455,0.04253007867112043,0.03826952749292292
ETS2+IGDCC3,0.006047958157281918,0.03194424453052471,0.0330238958275923,0.032072274531495276
ETS2+IKZF3,0.007352632148668867,0.03195962161509654,0.03386670551412747,0.03246457398306464
ETS2+MAP7D1,0.006930516622341821,0.027272924817773863,0.029386815367951107,0.027681038946397524
ETS2+MAPK1,0.00594019321559788,0.03469178508038414,0.035974050590709246,0.034894557773664535
ETS2+PRTG,0.006060865638516881,0.030468135847366393,0.03165347827223028,0.03051516826957411
ETS2+TGFBR2,0.006563219232509845,0.01900457395866585,0.019877793847747505,0.01850096843604222
FEV+ISL2,0.00797344599228916,0.040228333936371784,0.043151724185210294,0.04112491420533458
FEV+MAP7D1,0.00800952919195216,0.031994595480524274,0.03478409229859225,0.03265904626547235
FOSB+IKZF3,0.008456927477162725,0.04390554706528265,0.04905837598606643,0.04552617596135247
FOSB+OSR2,0.007213001067586844,0.031020391173039483,0.03340628851009025,0.03160680763470638
FOSB+PTPN12,0.007191914748212113,0.03459013923573448,0.03663584239364232,0.0351582812701875
FOSB+UBASH3B,0.006061110384230716,0.026209468030297688,0.027678981775526627,0.02626826839286108
FOXA1+FOXA3,0.00803991199815636,0.03097672460173606,0.03198976090631789,0.03052319667106076
FOXA1+FOXF1,0.006780669824405611,0.030791522065283062,0.033172735938471885,0.03115978772413626
FOXA1+FOXL2,0.009825446559714906,0.03303345846359995,0.03606336143413679,0.03380289966383086
FOXA1+HOXB9,0.007577113675695002,0.03157992710763823,0.03504375343184795,0.032513956760730114
FOXA1+KLF1,0.006337293955357245,0.03254178247150625,0.03754025252635223,0.03454955361420556
FOXA3+FOXF1,0.010513415215053648,0.029941600629211997,0.03375687800731624,0.030618511988419642
FOXA3+FOXL2,0.013509678463890952,0.05426762124090498,0.06309277171747073,0.05753133826585388
