canonical_perturbation,original_condition,rms_vs_pooled_single_effect,pooled_effect_rms,orientation_effect_rms,total_n_orientation
BAK1,BAK1+ctrl,0.006080565153564404,0.015430589834696216,0.014850214677565591,534.0
BAK1,ctrl+BAK1,0.005094664100756626,0.015430589834696216,0.01760737775421921,637.0
BAK1,BETWEEN_ORIENTATIONS,0.011172253294532374,0.015430589834696216,,
C19orf26,C19orf26+ctrl,0.0053296161491082385,0.03003736013945929,0.030754835976365004,480.0
C19orf26,ctrl+C19orf26,0.00920461923489607,0.03003736013945929,0.030751945861509148,270.0
C19orf26,BETWEEN_ORIENTATIONS,0.014435401452099855,0.03003736013945929,,
CBFA2T3,CBFA2T3+ctrl,0.008147463454360243,0.035845006829301,0.03633146565263666,288.0
CBFA2T3,ctrl+CBFA2T3,0.00920312845652577,0.035845006829301,0.03774732337451365,243.0
CBFA2T3,BETWEEN_ORIENTATIONS,0.01714803810144993,0.035845006829301,,
CDKN1A,CDKN1A+ctrl,0.011830480367230448,0.05816245219650405,0.05479438677103244,144.0
CDKN1A,ctrl+CDKN1A,0.012436536042743916,0.05816245219650405,0.06293849870035967,131.0
CDKN1A,BETWEEN_ORIENTATIONS,0.023773266333955687,0.05816245219650405,,
CDKN1B,CDKN1B+ctrl,0.007949115062085116,0.04571676912134065,0.04977657126023613,268.0
CDKN1B,ctrl+CDKN1B,0.015146674893793597,0.04571676912134065,0.042141046400102994,145.0
CDKN1B,BETWEEN_ORIENTATIONS,0.023033692579587258,0.04571676912134065,,
CEBPA,CEBPA+ctrl,0.016794770776525865,0.19002132661994947,0.20343465600096122,322.0
CEBPA,ctrl+CEBPA,0.021736115787441553,0.19002132661994947,0.17293874035477674,258.0
CEBPA,BETWEEN_ORIENTATIONS,0.03840890799796408,0.19002132661994947,,
CEBPB,CEBPB+ctrl,0.010472333937362023,0.08885370597503947,0.08623992292115398,240.0
CEBPB,ctrl+CEBPB,0.014919884495688637,0.08885370597503947,0.09635980694686244,182.0
CEBPB,BETWEEN_ORIENTATIONS,0.02497280601922258,0.08885370597503947,,
CEBPE,CEBPE+ctrl,0.010850291298625862,0.09684306015774653,0.09040542071826552,473.0
CEBPE,ctrl+CEBPE,0.009210228394169883,0.09684306015774653,0.10292924195862277,566.0
CEBPE,BETWEEN_ORIENTATIONS,0.02005255148454717,0.09684306015774653,,
CLDN6,CLDN6+ctrl,0.00966384531651513,0.07334292406034074,0.06906811769417047,281.0
CLDN6,ctrl+CLDN6,0.010362304768603718,0.07334292406034074,0.07829898002271514,263.0
CLDN6,BETWEEN_ORIENTATIONS,0.01983815087637614,0.07334292406034074,,
CNN1,CNN1+ctrl,0.012798650495002898,0.05701476764034298,0.050745950664603454,236.0
CNN1,ctrl+CNN1,0.0071271894307324,0.05701476764034298,0.061199472439494786,400.0
CNN1,BETWEEN_ORIENTATIONS,0.01979661355694508,0.05701476764034298,,
COL2A1,COL2A1+ctrl,0.009144419689768426,0.06861529306674699,0.06920243132045559,247.0
COL2A1,ctrl+COL2A1,0.01044621789558712,0.06861529306674699,0.06883341537519767,227.0
COL2A1,BETWEEN_ORIENTATIONS,0.019382220166044815,0.06861529306674699,,
DLX2,DLX2+ctrl,0.007883720651504883,0.04390640738769811,0.044116032517229044,316.0
DLX2,ctrl+DLX2,0.00852486242483929,0.04390640738769811,0.0456086360597706,290.0
DLX2,BETWEEN_ORIENTATIONS,0.016316216635996885,0.04390640738769811,,
ELMSAN1,ELMSAN1+ctrl,0.007111400345350733,0.028232418904229197,0.02848280782412943,353.0
ELMSAN1,ctrl+ELMSAN1,0.005652712813631043,0.028232418904229197,0.029374151524035927,430.0
ELMSAN1,BETWEEN_ORIENTATIONS,0.01271377673751458,0.028232418904229197,,
ETS2,ETS2+ctrl,0.008040652778152054,0.04753227852517768,0.049609521856600884,375.0
ETS2,ctrl+ETS2,0.004577896408487365,0.04753227852517768,0.04700512687571666,656.0
ETS2,BETWEEN_ORIENTATIONS,0.012579674677512066,0.04753227852517768,,
FEV,FEV+ctrl,0.014932852083531413,0.07229247569418674,0.07095547973356349,173.0
FEV,ctrl+FEV,0.0052234147701091735,0.07229247569418674,0.07375532269106587,474.0
FEV,BETWEEN_ORIENTATIONS,0.019986191413288598,0.07229247569418674,,
FOXA1,FOXA1+ctrl,0.006910371738030925,0.03341356938805901,0.0323760448877862,426.0
FOXA1,ctrl+FOXA1,0.009017429587570009,0.03341356938805901,0.03707320400944461,335.0
FOXA1,BETWEEN_ORIENTATIONS,0.01586952021171072,0.03341356938805901,,
FOXF1,FOXF1+ctrl,0.0052840536489119905,0.0231011415320655,0.02401346642083085,448.0
FOXF1,ctrl+FOXF1,0.008802750292839974,0.0231011415320655,0.024292243119547564,267.0
FOXF1,BETWEEN_ORIENTATIONS,0.013999770672415156,0.0231011415320655,,
