canonical_perturbation,target_a,target_b,original_condition_labels,total_n,minimum_lane_n,observed_rms,additive_rmse,delta_pearson,cosine,residual_over_response_rms,mean_same_sign_lane_fraction,fraction_genes_majority_lane_sign,se_undefined_lane_n_lt_2,lolo_max_rms_change
CEBPA+CEBPB,CEBPA,CEBPB,CEBPB+CEBPA,75,5,0.18116952445532147,0.10568248152288494,0.9638769300232664,0.9643973729822859,0.5833347625138106,0.592814667988107,0.6370664023785927,False,0.018565421477146838
CEBPA+CEBPE,CEBPA,CEBPE,CEBPE+CEBPA,240,24,0.1909008801020992,0.1004774138516169,0.9799116449236441,0.9801686797545488,0.526332900078191,0.6073339940535183,0.6592666005946481,False,0.009648793900417603
CEBPE+SET,CEBPE,SET,SET+CEBPE,529,58,0.06475290315939701,0.0820011399144982,0.8370806436673892,0.8368081868654526,1.266370091741564,0.6332507433102081,0.6745292368681863,False,0.005466578403310401
CBFA2T3+FEV,CBFA2T3,FEV,FEV+CBFA2T3,153,13,0.1266438470928303,0.07430203012706789,0.8491013105147399,0.8506585415278849,0.5867006714712661,0.5921209117938553,0.642418235877106,False,0.010374737334521862
CEBPA+KLF1,CEBPA,KLF1,KLF1+CEBPA,308,32,0.1392658086768967,0.07183394715059067,0.9536904488925981,0.9543386163326273,0.5158046173217494,0.600792864222002,0.669573835480674,False,0.008281821906906125
CEBPE+KLF1,CEBPE,KLF1,CEBPE+KLF1,389,38,0.051087609301856685,0.07171913951389401,0.7399660119022259,0.7428517114380052,1.4038460694086055,0.6262388503468781,0.6773042616451933,False,0.005452023797831981
CEBPE+ZC3HAV1,CEBPE,ZC3HAV1,ZC3HAV1+CEBPE,346,36,0.04209047813037377,0.0662762551707942,0.8467025924947849,0.8466028537197356,1.57461397719232,0.6202675916749256,0.6701684836471754,False,0.006708270910055701
CEBPB+CEBPE,CEBPB,CEBPE,CEBPE+CEBPB,111,9,0.14190172084534095,0.06614894320996881,0.9420554063130804,0.9428117993840786,0.4661602608897514,0.5843409316154609,0.6329038652130823,False,0.012956182944546727
DLX2+ZBTB10,DLX2,ZBTB10,ZBTB10+DLX2,74,6,0.13624945749510312,0.0654453930706882,0.8800163809821984,0.8796283707104005,0.48033507269590664,0.5887016848364718,0.6531219028741329,False,0.018163186495673587
CEBPA+JUN,CEBPA,JUN,JUN+CEBPA,70,5,0.19801195241994854,0.06378491278052559,0.9539978771347638,0.9545735181605652,0.3221265787291921,0.5772547076313181,0.6309217046580773,False,0.019688209684429255
