canonical_perturbation,original_condition_labels,construct_pooling_caveat,total_n,minimum_lane_n,effect_rms,mean_positive_lane_fraction,se_undefined_lane_n_lt_2,lolo_max_rms_change,top10_up_genes,top10_down_genes
CEBPA,CEBPA+ctrl|ctrl+CEBPA,True,580,64,0.19002132661994947,0.25535183349851337,False,0.004989257678313928,LST1|CLC|CFD|CSF3R|TYROBP|PNRC1|VIM|MS4A3|TMSB4X|AIF1,NME1|RANBP1|SRM|PTMA|HBG2|LAPTM4B|HSPD1|PITX1|UBE2S|GYPB
TP73,TP73+ctrl,False,218,20,0.12828832351693154,0.18305252725470764,False,0.006694041639603258,AVP|HBZ|NEAT1|ALAS2|GYPB|MALAT1|CHI3L2|NOX5|TESC|GDF15,PTMA|RANBP1|HIST1H4C|STMN1|SRM|ENO1|NCL|NME1|DDX21|PHF19
IKZF3,IKZF3+ctrl|ctrl+IKZF3,True,583,63,0.10844843608997329,0.2043607532210109,False,0.004244339035590708,HBZ|HBG2|HBG1|HBA1|GYPB|HBA2|ALAS2|GYPA|BLVRB|RP11-717F1.1,PTMA|NME1|GAL|ENO1|DDX21|SRM|RANBP1|HIST1H4C|HSPD1|PRDX1
HES7,HES7+ctrl,False,122,9,0.10170768157232189,0.1543111992071358,False,0.01171616316745441,HES7|MALAT1|RP11-301G19.1|NEAT1|PLD3|SH3BGRL3|LGALS1|BTG2|CD59|TIMP1,PITX1|NME1|GAL|YBX1|PTMA|SRM|ODC1|HBG2|RP11-717F1.1|DDX21
CEBPE,CEBPE+ctrl|ctrl+CEBPE,True,1039,116,0.09684306015774653,0.2913032705649158,False,0.003804328226337648,CEBPE|LST1|AIF1|LMO4|VIM|MS4A3|PNRC1|MSRB1|TYROBP|CSF3R,HBG2|GYPA|GYPB|HBZ|RP11-717F1.1|NME1|UBE2S|PITX1|SRM|RANBP1
HOXA13,HOXA13+ctrl,False,230,17,0.0919695855151722,0.18753716551040633,False,0.008733429891010351,MALAT1|NEAT1|GYPB|LGALS1|HBG2|PYCARD|CD48|SEPP1|DSCR8|RP11-887P2.5,PTMA|RANBP1|UBE2S|NME1|SRM|GAL|CACYBP|CKS1B|ODC1|HIST1H4C
SPI1,SPI1+ctrl|ctrl+SPI1,True,506,41,0.0914001276077545,0.20758176412289395,False,0.0046926931261037546,LST1|AIF1|TYROBP|ARHGDIB|MALAT1|SH3BGRL|NEAT1|SPI1|PYCARD|ARPC1B,NME1|LAPTM4B|RANBP1|GAL|UBE2S|SRM|PTMA|HIST1H4C|ENO1|HSP90AA1
CEBPB,CEBPB+ctrl|ctrl+CEBPB,True,422,40,0.08885370597503947,0.22921209117938554,False,0.005836851552270077,LST1|PLD3|AIF1|CFD|RP11-301G19.1|ID3|SH3BGRL3|ID1|TYROBP|CSF3R,HBG2|GYPA|SRM|NME1|RANBP1|GAL|GYPB|RP11-717F1.1|PTMA|UBE2S
PRDM1,PRDM1+ctrl,False,273,22,0.086704996000722,0.16558473736372648,False,0.005887641938713536,HBZ|HBG2|HBG1|BLVRB|ALAS2|HBA1|SLC25A37|RP11-717F1.1|SH3BGRL3|APOE,GAL|MDK|PRSS57|NME1|TMSB10|SRM|LAPTM5|KCNH2|RHOBTB3|VIM
ZBTB10,ZBTB10+ctrl,False,145,15,0.08339590674954174,0.16219028741328048,False,0.008539403226907263,GYPB|MALAT1|BST2|S100A13|NEAT1|FCER1G|SOCS2|LGALS1|BTG1|ARPC1B,HBZ|PTMA|NME1|HIST1H4C|DDX21|HMGB2|SRM|TUBB|MARCKSL1|RANBP1
DUSP9,DUSP9+ctrl,False,662,65,0.07689080643322192,0.20641724479682855,False,0.0036356908692060977,HBZ|DUSP9|GYPB|HBG2|ALAS2|BSG|GYPA|SQLE|GMPPA|COL18A1,RP11-301G19.1|GAL|ACTG1|PRSS57|EMP3|VIM|S100A11|LDHA|TEX30|ODC1
COL1A1,COL1A1+ctrl,False,257,24,0.07627289596412878,0.17125867195242814,False,0.005149878912828862,COL1A1|DDIT4|EIF1|AIF1|SERPINF1|SLC3A2|S100A11|PHGDH|TRIB3|PRSS57,HIST1H1C|HBG2|HBZ|GAL|MT-ND6|HIST1H2BJ|PITX1|MT-ND2|PTMA|PHF19
ARID1A,ARID1A+ctrl,False,182,14,0.07501095994016187,0.1490336967294351,False,0.0071308643520763436,BTG1|MYL4|MALAT1|HBG2|GAD1|ALAS2|SH3BGRL3|FGFR3|TSC22D4|AMHR2,TMSB10|GAL|UBE2S|TEX30|DDX21|PRDX1|CACYBP|VIM|LDHA|PRSS57
IRF1,IRF1+ctrl,False,331,27,0.07340603358355122,0.19073339940535183,False,0.004960263297133958,PSMB9|ISG15|PSME1|GAPDH|CYBRD1|GYPC|APOE|AC006262.5|HLA-C|HEMGN,PRSS57|TMSB4X|TEX30|PHF19|HIST1H4C|TESC|RP11-717F1.1|S100A11|ACTG1|PITX1
CLDN6,CLDN6+ctrl|ctrl+CLDN6,True,544,59,0.07334292406034074,0.19033696729435085,False,0.0038507556493284144,HBZ|CLDN6|ALAS2|HBG2|GYPB|MALAT1|NEAT1|GMPPA|APOE|HBA1,CMTM6|HIST1H4C|RANBP1|LY6E|KCNH2|HMGB2|PRSS57|CLIC1|UBE2S|TEX30
FEV,FEV+ctrl|ctrl+FEV,True,647,64,0.07229247569418674,0.20666501486620417,False,0.003548318174686611,FEV|HBG2|CRYBA2|SH3BGRL3|HBG1|HBZ|GYPB|BLVRB|CCND3|FCER1G,MARCKSL1|VIM|APOC1|GAL|PRSS57|CST3|KCNH2|S100A11|RP11-301G19.1|MT-ND6
ATL1,ATL1+ctrl,False,305,26,0.07143835402332963,0.15721010901883054,False,0.005542737657727859,HBZ|ALAS2|GYPB|HBG2|BTG1|GYPA|MALAT1|HBG1|NEAT1|COL18A1,RP11-301G19.1|TEX30|PHF19|PTMA|GAL|UBE2S|PRSS57|EMP3|RANBP1|ODC1
RHOXF2BB,RHOXF2BB+ctrl,False,290,28,0.07031708596410391,0.18919722497522298,False,0.006035865358382587,HBG2|MALAT1|HBZ|NEAT1|HBG1|GYPB|ALAS2|BTG1|AC006262.5|HIST1H1C,GAL|RANBP1|PRSS57|LDHA|PSMB2|ODC1|PTMA|MARCKSL1|KCNH2|NME1
SET,SET+ctrl|ctrl+SET,True,790,88,0.07015378591376682,0.21387512388503468,False,0.0028162683961214055,FTL|CD52|PRKCB|BLVRB|SERPINB9|SHISA8|FAM178B|RP11-717F1.1|SLC25A37|HN1,ACTG1|COMT|UBE2S|CLIC1|PHF19|GAPDH|CMTM6|RANBP1|CACYBP|TMSB4X
COL2A1,COL2A1+ctrl|ctrl+COL2A1,True,474,48,0.06861529306674699,0.2091922695738355,False,0.003772477377120587,COL2A1|TIMP1|SH3BGRL3|NR2F2|CD37|MDK|KRT18|TNNT1|GAD1|VIM,HBZ|APOC1|HIST1H1C|PITX1|PPP1R14A|HBG2|HIST1H2BJ|TFRC|GAL|UBE2S
MAPK1,MAPK1+ctrl|ctrl+MAPK1,True,660,72,0.06836102597743964,0.2103567888999009,False,0.0032639724954661342,AIF1|SH3BGRL3|TMSB4X|ARHGDIB|GPSM3|GMFG|CD52|IFITM2|S100A11|MT2A,HBG2|HBZ|GAL|APOC1|HBG1|GYPB|PDE4DIP|APOE|AC079466.1|MDK
HOXC13,HOXC13+ctrl|ctrl+HOXC13,True,343,26,0.0675788732105033,0.19410307234886026,False,0.005343375003707878,MALAT1|HBG2|GYPB|NEAT1|LGALS1|S100A4|PYCARD|BST2|CD48|SEPP1,RANBP1|NME1|PTMA|CACYBP|PRSS57|GAL|UBE2S|PRDX1|SRM|NCL
HNF4A,HNF4A+ctrl,False,202,20,0.06713551216287558,0.16499008919722497,False,0.006154042436152621,HBZ|SEPP1|MALAT1|APOC1|APOE|PPP1R14A|REEP6|NEAT1|SH3BGRL3|HEPH,HBG2|PTMA|NME1|CACYBP|HBG1|GYPC|ENO1|TUBA1B|EMP3|CKB
PTPN1,PTPN1+ctrl,False,342,30,0.06700768757942702,0.15589692765113974,False,0.00478216510316435,HBZ|NEAT1|HBG2|HBA1|COL18A1|APOE|ALAS2|HBG1|BLVRB|SLC25A37,UBE2S|PRSS57|CACYBP|RANBP1|ATP6V0B|PRDX1|NME1|SDF2L1|LDHA|LAPTM4B
MIDN,MIDN+ctrl,False,256,23,0.06611664796944042,0.18748761149653123,False,0.006114571009689698,ID2|MALAT1|RP11-301G19.1|NEAT1|HES1|VASN|PIM1|SMYD3|MIDN|LGALS1,GAL|PTMA|SRM|PITX1|DDX21|HSP90AB1|NME1|CACYBP|RANBP1|ENO1
TBX3,TBX3+ctrl|ctrl+TBX3,True,559,56,0.0635865147257009,0.17106045589692764,False,0.0034290596161556017,AVP|NEAT1|RFK|BST2|VIM|MALAT1|ATF7IP2|TIMP2|TSC22D1|TBX3,PRSS57|GYPB|GYPA|TEX30|HBZ|HIST1H1C|SH3BGRL3|PHF19|EMP3|HMGB2
