canonical_perturbation,direction,rank,gene_id,gene_name,effect
AHR,up,1,ENSG00000088992,TESC,0.8157518372878387
AHR,up,2,ENSG00000142669,SH3BGRL3,0.5702832467889597
AHR,up,3,ENSG00000196565,HBG2,0.5666891276747015
AHR,up,4,ENSG00000250361,GYPB,0.5568335521279641
AHR,up,5,ENSG00000251562,MALAT1,0.5267593211075565
AHR,up,6,ENSG00000130656,HBZ,0.509260278745572
AHR,up,7,ENSG00000134321,RSAD2,0.4991891317990186
AHR,up,8,ENSG00000100097,LGALS1,0.48073520780637885
AHR,up,9,ENSG00000130203,APOE,0.4147227922096787
AHR,up,10,ENSG00000147454,SLC25A37,0.39216182961261614
AHR,down,1,ENSG00000198886,MT-ND4,-0.6340341705429687
AHR,down,2,ENSG00000198727,MT-CYB,-0.5328748813806286
AHR,down,3,ENSG00000198786,MT-ND5,-0.4652015105262868
AHR,down,4,ENSG00000069482,GAL,-0.4409767720283134
AHR,down,5,ENSG00000198899,MT-ATP6,-0.42231659705642854
AHR,down,6,ENSG00000198840,MT-ND3,-0.36478526153760465
AHR,down,7,ENSG00000212907,MT-ND4L,-0.361613818008649
AHR,down,8,ENSG00000198938,MT-CO3,-0.34576386282098603
AHR,down,9,ENSG00000123131,PRDX4,-0.3212352129188102
AHR,down,10,ENSG00000116161,CACYBP,-0.3018404953684778
ARID1A,up,1,ENSG00000133639,BTG1,0.9106229486216283
ARID1A,up,2,ENSG00000198336,MYL4,0.6799441788640204
ARID1A,up,3,ENSG00000251562,MALAT1,0.6647773070118407
ARID1A,up,4,ENSG00000196565,HBG2,0.6341236240288443
ARID1A,up,5,ENSG00000128683,GAD1,0.6204749632660294
ARID1A,up,6,ENSG00000158578,ALAS2,0.6087082945431258
ARID1A,up,7,ENSG00000142669,SH3BGRL3,0.577273135415442
ARID1A,up,8,ENSG00000068078,FGFR3,0.5705462204777871
ARID1A,up,9,ENSG00000166925,TSC22D4,0.5309802675651362
ARID1A,up,10,ENSG00000135409,AMHR2,0.49020514995169273
ARID1A,down,1,ENSG00000034510,TMSB10,-0.9923721652872679
ARID1A,down,2,ENSG00000069482,GAL,-0.7393747411441978
ARID1A,down,3,ENSG00000108106,UBE2S,-0.7187868576455545
ARID1A,down,4,ENSG00000151287,TEX30,-0.6506001065999147
ARID1A,down,5,ENSG00000165732,DDX21,-0.6476402500889713
ARID1A,down,6,ENSG00000117450,PRDX1,-0.6209121330385263
ARID1A,down,7,ENSG00000116161,CACYBP,-0.6047671317991832
ARID1A,down,8,ENSG00000026025,VIM,-0.5951574250160399
ARID1A,down,9,ENSG00000134333,LDHA,-0.5882293349766317
ARID1A,down,10,ENSG00000185198,PRSS57,-0.5470413491779559
ARRDC3,up,1,ENSG00000187837,HIST1H1C,0.33137095732559135
ARRDC3,up,2,ENSG00000130656,HBZ,0.30918905167406907
ARRDC3,up,3,ENSG00000245532,NEAT1,0.27347022863015447
ARRDC3,up,4,ENSG00000268621,AC006262.5,0.24736831642663143
ARRDC3,up,5,ENSG00000279669,RP11-717F1.1,0.2391284504130111
ARRDC3,up,6,ENSG00000147454,SLC25A37,0.1368934205695772
ARRDC3,up,7,ENSG00000130203,APOE,0.12597644765240568
ARRDC3,up,8,ENSG00000136732,GYPC,0.12485658772722519
ARRDC3,up,9,ENSG00000030582,GRN,0.12279281947191464
ARRDC3,up,10,ENSG00000104408,EIF3E,0.12042433016524604
ARRDC3,down,1,ENSG00000115758,ODC1,-0.2579270558454817
ARRDC3,down,2,ENSG00000069482,GAL,-0.19258890131036846
ARRDC3,down,3,ENSG00000008018,PSMB1,-0.18763278818264262
ARRDC3,down,4,ENSG00000116649,SRM,-0.17311696743316884
ARRDC3,down,5,ENSG00000239672,NME1,-0.1682935618479311
ARRDC3,down,6,ENSG00000173207,CKS1B,-0.16735048648407452
ARRDC3,down,7,ENSG00000277791,PSMB3,-0.1652829202056835
ARRDC3,down,8,ENSG00000110492,MDK,-0.16500210094521361
ARRDC3,down,9,ENSG00000117450,PRDX1,-0.16497610964848386
ARRDC3,down,10,ENSG00000165732,DDX21,-0.1623936790361747
ATL1,up,1,ENSG00000130656,HBZ,1.6910534650717395
ATL1,up,2,ENSG00000158578,ALAS2,1.144637448642786
ATL1,up,3,ENSG00000250361,GYPB,0.9290090852828286
ATL1,up,4,ENSG00000196565,HBG2,0.9141464139275918
ATL1,up,5,ENSG00000133639,BTG1,0.5753135023726799
ATL1,up,6,ENSG00000170180,GYPA,0.5648720785038376
ATL1,up,7,ENSG00000251562,MALAT1,0.5571824049822965
