canonical_perturbation,label_a,label_b,residual_rms,canonical_residual_rms,n_combinations,residual_rms_min,residual_rms_max,do_not_choose_favorable_orientation
AHR+FEV,AHR+ctrl,FEV+ctrl,0.059431496705071606,0.05425585365492571,2,,,
AHR+FEV,AHR+ctrl,ctrl+FEV,0.05333349603634521,0.05425585365492571,2,,,
AHR+FEV,RANGE,RANGE,,0.05425585365492571,2,0.05333349603634521,0.059431496705071606,True
AHR+KLF1,AHR+ctrl,KLF1+ctrl,0.03523290276975478,0.03460734318380862,2,,,
AHR+KLF1,AHR+ctrl,ctrl+KLF1,0.034379969406432606,0.03460734318380862,2,,,
AHR+KLF1,RANGE,RANGE,,0.03460734318380862,2,0.034379969406432606,0.03523290276975478,True
BAK1+BCL2L11,BAK1+ctrl,BCL2L11+ctrl,0.021510224455546234,0.02109050141938294,2,,,
BAK1+BCL2L11,ctrl+BAK1,BCL2L11+ctrl,0.02206123908055589,0.02109050141938294,2,,,
BAK1+BCL2L11,RANGE,RANGE,,0.02109050141938294,2,0.021510224455546234,0.02206123908055589,True
BAK1+KLF1,BAK1+ctrl,KLF1+ctrl,0.015637619610257426,0.01416878132402218,4,,,
BAK1+KLF1,BAK1+ctrl,ctrl+KLF1,0.015937003335058132,0.01416878132402218,4,,,
BAK1+KLF1,ctrl+BAK1,KLF1+ctrl,0.01590184628448209,0.01416878132402218,4,,,
BAK1+KLF1,ctrl+BAK1,ctrl+KLF1,0.01651318709721545,0.01416878132402218,4,,,
BAK1+KLF1,RANGE,RANGE,,0.01416878132402218,4,0.015637619610257426,0.01651318709721545,True
BAK1+TMSB4X,BAK1+ctrl,TMSB4X+ctrl,0.01659971963431266,0.0154457742802174,2,,,
BAK1+TMSB4X,ctrl+BAK1,TMSB4X+ctrl,0.01624344164744762,0.0154457742802174,2,,,
BAK1+TMSB4X,RANGE,RANGE,,0.0154457742802174,2,0.01624344164744762,0.01659971963431266,True
BCL2L11+TGFBR2,BCL2L11+ctrl,TGFBR2+ctrl,0.01894081938744363,0.015283825361154496,2,,,
BCL2L11+TGFBR2,BCL2L11+ctrl,ctrl+TGFBR2,0.01644167851991398,0.015283825361154496,2,,,
BCL2L11+TGFBR2,RANGE,RANGE,,0.015283825361154496,2,0.01644167851991398,0.01894081938744363,True
BPGM+SAMD1,BPGM+ctrl,SAMD1+ctrl,0.0307333420647702,0.029021374849093586,2,,,
BPGM+SAMD1,BPGM+ctrl,ctrl+SAMD1,0.031624550113126086,0.029021374849093586,2,,,
BPGM+SAMD1,RANGE,RANGE,,0.029021374849093586,2,0.0307333420647702,0.031624550113126086,True
BPGM+ZBTB1,BPGM+ctrl,ZBTB1+ctrl,0.03098261721638397,0.03150893059618187,2,,,
BPGM+ZBTB1,BPGM+ctrl,ctrl+ZBTB1,0.035199249047468927,0.03150893059618187,2,,,
BPGM+ZBTB1,RANGE,RANGE,,0.03150893059618187,2,0.03098261721638397,0.035199249047468927,True
C19orf26+TGFBR2,C19orf26+ctrl,TGFBR2+ctrl,0.03558880399271113,0.03196538895115798,4,,,
C19orf26+TGFBR2,C19orf26+ctrl,ctrl+TGFBR2,0.03188633653944867,0.03196538895115798,4,,,
C19orf26+TGFBR2,ctrl+C19orf26,TGFBR2+ctrl,0.03659565479232406,0.03196538895115798,4,,,
C19orf26+TGFBR2,ctrl+C19orf26,ctrl+TGFBR2,0.032805674453893346,0.03196538895115798,4,,,
C19orf26+TGFBR2,RANGE,RANGE,,0.03196538895115798,4,0.03188633653944867,0.03659565479232406,True
C3orf72+FOXL2,C3orf72+ctrl,FOXL2+ctrl,0.06083443150776495,0.060443909571769136,2,,,
C3orf72+FOXL2,C3orf72+ctrl,ctrl+FOXL2,0.061787349410228995,0.060443909571769136,2,,,
C3orf72+FOXL2,RANGE,RANGE,,0.060443909571769136,2,0.06083443150776495,0.061787349410228995,True
CBFA2T3+FEV,CBFA2T3+ctrl,FEV+ctrl,0.07836294277843886,0.07430203012706789,4,,,
CBFA2T3+FEV,CBFA2T3+ctrl,ctrl+FEV,0.07433386543288997,0.07430203012706789,4,,,
CBFA2T3+FEV,ctrl+CBFA2T3,FEV+ctrl,0.07700252816602977,0.07430203012706789,4,,,
CBFA2T3+FEV,ctrl+CBFA2T3,ctrl+FEV,0.07332501110761931,0.07430203012706789,4,,,
CBFA2T3+FEV,RANGE,RANGE,,0.07430203012706789,4,0.07332501110761931,0.07836294277843886,True
CBFA2T3+POU3F2,CBFA2T3+ctrl,POU3F2+ctrl,0.03342569984383253,0.03222968972121314,2,,,
CBFA2T3+POU3F2,ctrl+CBFA2T3,POU3F2+ctrl,0.03297739315628141,0.03222968972121314,2,,,
CBFA2T3+POU3F2,RANGE,RANGE,,0.03222968972121314,2,0.03297739315628141,0.03342569984383253,True
CBFA2T3+PRDM1,CBFA2T3+ctrl,PRDM1+ctrl,0.05856137591686666,0.05724925461414639,2,,,
CBFA2T3+PRDM1,ctrl+CBFA2T3,PRDM1+ctrl,0.05692385649905186,0.05724925461414639,2,,,
CBFA2T3+PRDM1,RANGE,RANGE,,0.05724925461414639,2,0.05692385649905186,0.05856137591686666,True
CBL+CNN1,CBL+ctrl,CNN1+ctrl,0.04940862497963777,0.04440410561006236,2,,,
CBL+CNN1,CBL+ctrl,ctrl+CNN1,0.043064040479372394,0.04440410561006236,2,,,
CBL+CNN1,RANGE,RANGE,,0.04440410561006236,2,0.043064040479372394,0.04940862497963777,True
CBL+PTPN12,CBL+ctrl,PTPN12+ctrl,0.029263035228152674,0.028224010583962105,2,,,
CBL+PTPN12,CBL+ctrl,ctrl+PTPN12,0.03097938762144073,0.028224010583962105,2,,,
CBL+PTPN12,RANGE,RANGE,,0.028224010583962105,2,0.029263035228152674,0.03097938762144073,True
CBL+PTPN9,CBL+ctrl,PTPN9+ctrl,0.030706049840962306,0.029117846350433886,2,,,
CBL+PTPN9,CBL+ctrl,ctrl+PTPN9,0.030985456655398775,0.029117846350433886,2,,,
CBL+PTPN9,RANGE,RANGE,,0.029117846350433886,2,0.030706049840962306,0.030985456655398775,True
CBL+TGFBR2,CBL+ctrl,TGFBR2+ctrl,0.027143442678350123,0.02397984990528617,2,,,
CBL+TGFBR2,CBL+ctrl,ctrl+TGFBR2,0.024178772575073153,0.02397984990528617,2,,,
CBL+TGFBR2,RANGE,RANGE,,0.02397984990528617,2,0.024178772575073153,0.027143442678350123,True
CBL+UBASH3A,CBL+ctrl,UBASH3A+ctrl,0.05214146813654177,0.05141689760626969,2,,,
CBL+UBASH3A,CBL+ctrl,ctrl+UBASH3A,0.051539749426357695,0.05141689760626969,2,,,
CBL+UBASH3A,RANGE,RANGE,,0.05141689760626969,2,0.051539749426357695,0.05214146813654177,True
CBL+UBASH3B,CBL+ctrl,UBASH3B+ctrl,0.045800347830224554,0.04518136069494105,2,,,
CBL+UBASH3B,CBL+ctrl,ctrl+UBASH3B,0.04520157934122117,0.04518136069494105,2,,,
CBL+UBASH3B,RANGE,RANGE,,0.04518136069494105,2,0.04520157934122117,0.045800347830224554,True
CDKN1A+CDKN1B,CDKN1A+ctrl,CDKN1B+ctrl,0.035511261067832325,0.033761082694908864,4,,,
CDKN1A+CDKN1B,CDKN1A+ctrl,ctrl+CDKN1B,0.03195600167532234,0.033761082694908864,4,,,
CDKN1A+CDKN1B,ctrl+CDKN1A,CDKN1B+ctrl,0.04147973260170928,0.033761082694908864,4,,,
CDKN1A+CDKN1B,ctrl+CDKN1A,ctrl+CDKN1B,0.037915184450904756,0.033761082694908864,4,,,
CDKN1A+CDKN1B,RANGE,RANGE,,0.033761082694908864,4,0.03195600167532234,0.04147973260170928,True
CDKN1A+CDKN1C,CDKN1A+ctrl,CDKN1C+ctrl,0.046039199636347894,0.048724551231149445,2,,,
CDKN1A+CDKN1C,ctrl+CDKN1A,CDKN1C+ctrl,0.05342349479923773,0.048724551231149445,2,,,
CDKN1A+CDKN1C,RANGE,RANGE,,0.048724551231149445,2,0.046039199636347894,0.05342349479923773,True
CDKN1B+CDKN1C,CDKN1B+ctrl,CDKN1C+ctrl,0.04925048953714364,0.04624685125667132,2,,,
CDKN1B+CDKN1C,ctrl+CDKN1B,CDKN1C+ctrl,0.04488408199103559,0.04624685125667132,2,,,
CDKN1B+CDKN1C,RANGE,RANGE,,0.04624685125667132,2,0.04488408199103559,0.04925048953714364,True
CEBPA+CEBPB,CEBPA+ctrl,CEBPB+ctrl,0.11396308413517603,0.10568248152288494,4,,,
CEBPA+CEBPB,CEBPA+ctrl,ctrl+CEBPB,0.12455133329597583,0.10568248152288494,4,,,
CEBPA+CEBPB,ctrl+CEBPA,CEBPB+ctrl,0.09046206932986652,0.10568248152288494,4,,,
CEBPA+CEBPB,ctrl+CEBPA,ctrl+CEBPB,0.10029259165544328,0.10568248152288494,4,,,
CEBPA+CEBPB,RANGE,RANGE,,0.10568248152288494,4,0.09046206932986652,0.12455133329597583,True
CEBPA+CEBPE,CEBPA+ctrl,CEBPE+ctrl,0.1067382095017081,0.1004774138516169,4,,,
CEBPA+CEBPE,CEBPA+ctrl,ctrl+CEBPE,0.11841224334745837,0.1004774138516169,4,,,
CEBPA+CEBPE,ctrl+CEBPA,CEBPE+ctrl,0.0808054846332876,0.1004774138516169,4,,,
