canonical_perturbation,label_a,label_b,profile_rms,pooled_single_effect_rms,profile_over_pooled_single_rms,n_cells_a,n_cells_b,no_new_biology_claim
BAK1,BAK1+ctrl,ctrl+BAK1,0.011172253294532372,0.015430589834696216,0.7240328084809288,534,637,True
C19orf26,C19orf26+ctrl,ctrl+C19orf26,0.014435401452099853,0.03003736013945929,0.48058156193081847,480,270,True
CBFA2T3,CBFA2T3+ctrl,ctrl+CBFA2T3,0.017148038101449933,0.035845006829301,0.4783940531274361,288,243,True
CDKN1A,CDKN1A+ctrl,ctrl+CDKN1A,0.023773266333955687,0.05816245219650405,0.4087390650868159,144,131,True
CDKN1B,CDKN1B+ctrl,ctrl+CDKN1B,0.02303369257958726,0.04571676912134065,0.5038346545980018,268,145,True
CEBPA,CEBPA+ctrl,ctrl+CEBPA,0.03840890799796408,0.19002132661994947,0.2021294592621358,322,258,True
CEBPB,CEBPB+ctrl,ctrl+CEBPB,0.024972806019222582,0.08885370597503947,0.28105531159542035,240,182,True
CEBPE,CEBPE+ctrl,ctrl+CEBPE,0.02005255148454717,0.09684306015774653,0.20706234862760226,473,566,True
CLDN6,CLDN6+ctrl,ctrl+CLDN6,0.019838150876376144,0.07334292406034074,0.2704848644983787,281,263,True
CNN1,CNN1+ctrl,ctrl+CNN1,0.019796613556945085,0.05701476764034298,0.34721905176961965,236,400,True
COL2A1,COL2A1+ctrl,ctrl+COL2A1,0.019382220166044815,0.06861529306674699,0.2824766797569508,247,227,True
DLX2,DLX2+ctrl,ctrl+DLX2,0.016316216635996885,0.04390640738769811,0.3716135663736504,316,290,True
ELMSAN1,ELMSAN1+ctrl,ctrl+ELMSAN1,0.012713776737514577,0.028232418904229197,0.45032544964151344,353,430,True
ETS2,ETS2+ctrl,ctrl+ETS2,0.012579674677512065,0.04753227852517768,0.2646554103407573,375,656,True
FEV,FEV+ctrl,ctrl+FEV,0.0199861914132886,0.07229247569418674,0.27646295442743773,173,474,True
FOXA1,FOXA1+ctrl,ctrl+FOXA1,0.015869520211710723,0.03341356938805901,0.47494238126448124,426,335,True
FOXF1,FOXF1+ctrl,ctrl+FOXF1,0.013999770672415158,0.0231011415320655,0.6060207307497251,448,267,True
FOXL2,FOXL2+ctrl,ctrl+FOXL2,0.01790731560041574,0.046332807603750976,0.38649321132367587,303,241,True
HOXB9,HOXB9+ctrl,ctrl+HOXB9,0.017579700991754627,0.04564599997850331,0.385131249179198,356,256,True
HOXC13,HOXC13+ctrl,ctrl+HOXC13,0.024685844609500553,0.0675788732105033,0.365289378717605,151,192,True
IER5L,IER5L+ctrl,ctrl+IER5L,0.034567669746373667,0.055678136639586165,0.6208481790641799,132,195,True
IGDCC3,IGDCC3+ctrl,ctrl+IGDCC3,0.017991681141395707,0.054442614390689946,0.33047055771943984,284,223,True
IKZF3,IKZF3+ctrl,ctrl+IKZF3,0.019848600666839224,0.10844843608997329,0.18302339233709194,374,209,True
ISL2,ISL2+ctrl,ctrl+ISL2,0.01672106815421336,0.020467707123236416,0.8169487697637806,272,213,True
KIF2C,KIF2C+ctrl,ctrl+KIF2C,0.016390761221988268,0.019409725067093188,0.8444612772891253,270,248,True
KLF1,KLF1+ctrl,ctrl+KLF1,0.009755474461937507,0.056845930250141195,0.1716125397017894,997,644,True
MAP2K6,MAP2K6+ctrl,ctrl+MAP2K6,0.013639397108707903,0.02356989410348769,0.5786787606606026,363,378,True
MAP7D1,MAP7D1+ctrl,ctrl+MAP7D1,0.014938244341125843,0.022367969235470544,0.667840883714967,277,358,True
MAPK1,MAPK1+ctrl,ctrl+MAPK1,0.015947799541165153,0.06836102597743964,0.23328789047765627,279,381,True
MEIS1,MEIS1+ctrl,ctrl+MEIS1,0.014493216164163835,0.02405040104948162,0.6026184816770954,292,390,True
OSR2,OSR2+ctrl,ctrl+OSR2,0.017431301590542524,0.057905043090385674,0.30103252946955755,407,451,True
PRTG,PRTG+ctrl,ctrl+PRTG,0.016114345210739532,0.061375967035079894,0.26255138597701044,285,296,True
PTPN12,PTPN12+ctrl,ctrl+PTPN12,0.021003793609777503,0.04354726229063518,0.4823217925755659,194,164,True
PTPN9,PTPN9+ctrl,ctrl+PTPN9,0.019108035014437055,0.034845896071503006,0.5483582621961505,164,199,True
RUNX1T1,RUNX1T1+ctrl,ctrl+RUNX1T1,0.014773262759464468,0.01675256522876749,0.8818507827145082,275,356,True
SAMD1,SAMD1+ctrl,ctrl+SAMD1,0.021195419388637192,0.05383354900347501,0.393721383430786,252,178,True
SET,SET+ctrl,ctrl+SET,0.017268835609085376,0.07015378591376682,0.24615685930781075,512,278,True
SNAI1,SNAI1+ctrl,ctrl+SNAI1,0.02419944665906041,0.047997759852240224,0.5041786686203218,220,160,True
SPI1,SPI1+ctrl,ctrl+SPI1,0.03613858244046405,0.0914001276077545,0.3953887525797941,170,336,True
STIL,STIL+ctrl,ctrl+STIL,0.024050014896596344,0.02666991876242673,0.9017655850710211,127,141,True
TBX2,TBX2+ctrl,ctrl+TBX2,0.016231557399497415,0.05705860207465798,0.2844716976812599,269,295,True
TBX3,TBX3+ctrl,ctrl+TBX3,0.015441789258940882,0.0635865147257009,0.24284692006714903,289,270,True
TGFBR2,TGFBR2+ctrl,ctrl+TGFBR2,0.016839597119834033,0.01821156712092497,0.9246649125810512,209,328,True
UBASH3A,UBASH3A+ctrl,ctrl+UBASH3A,0.014139647509439014,0.01793003409710168,0.7886012615962974,371,315,True
UBASH3B,UBASH3B+ctrl,ctrl+UBASH3B,0.012264908511312083,0.03198569576079727,0.38344979590359146,470,513,True
ZBTB1,ZBTB1+ctrl,ctrl+ZBTB1,0.01879189664653997,0.05659050962465175,0.3320679875686066,315,287,True
ZBTB25,ZBTB25+ctrl,ctrl+ZBTB25,0.014348711615685697,0.03998337343485157,0.35886695851377615,343,247,True
