canonical_perturbation,target_a,target_b,observed_rms,residual_rms,residual_over_response_rms,projection_coefficient,squared_norm_fraction,cosine_to_neg_shared_shift,orthogonal_residual_rms,role
AHR+KLF1,AHR,KLF1,0.0654481509225572,0.03460734318380862,0.5287749569083844,-0.974304581371467,0.5669846502772791,0.7529838313518284,0.022772982137734203,descriptive_alignment_not_confounding_proof
OSR2+UBASH3B,OSR2,UBASH3B,0.03335470260056187,0.033605532653069134,1.0075200806168494,-0.9280667639073432,0.5455759335855132,0.7386311214574656,0.022653819991355954,descriptive_alignment_not_confounding_proof
FOSB+IKZF3,FOSB,IKZF3,0.08452203149246387,0.04552617596135247,0.5386308771507895,-1.1834617996930923,0.4833975829350054,0.695267993607505,0.03272196603661181,descriptive_alignment_not_confounding_proof
C19orf26+TGFBR2,C19orf26,TGFBR2,0.05872425531223892,0.03196538895115798,0.5443302564025188,0.8182234209028326,0.46870777559035215,-0.6846223598381461,0.023299506540940734,descriptive_alignment_not_confounding_proof
MAP2K6+SPI1,MAP2K6,SPI1,0.04718004884918246,0.051589783277519306,1.0934660844127815,-1.2933117187871979,0.44957002821670045,0.6704998346134772,0.03827495955073595,descriptive_alignment_not_confounding_proof
DUSP9+MAPK1,DUSP9,MAPK1,0.043403270203358615,0.05593358518961889,1.2886951818964705,-1.3929291834926074,0.44364040370082497,0.666063363127582,0.04172059072138725,descriptive_alignment_not_confounding_proof
CNN1+UBASH3A,CNN1,UBASH3A,0.11038576302440738,0.060415957567409716,0.5473165733705274,1.4584227863715034,0.4168519977841392,-0.6456407652744204,0.04613611907805421,descriptive_alignment_not_confounding_proof
IGDCC3+MAPK1,IGDCC3,MAPK1,0.048763539180798406,0.04418173584827339,0.9060403857165233,-1.027528446159485,0.38691938556834105,0.6220284443402414,0.034594062585397156,descriptive_alignment_not_confounding_proof
CDKN1A+CDKN1C,CDKN1A,CDKN1C,0.07823838152066266,0.048724551231149445,0.6227704393179625,-1.132187184907096,0.3862416516740704,0.6214834283181414,0.03817214404824381,descriptive_alignment_not_confounding_proof
CEBPE+CNN1,CEBPE,CNN1,0.05873557000680768,0.05970799432529215,1.016555969719401,-1.3866746047607112,0.38583577196575025,0.6211568014324164,0.04679233758087736,descriptive_alignment_not_confounding_proof
CDKN1B+CDKN1C,CDKN1B,CDKN1C,0.06954313235492068,0.04624685125667132,0.6650096090099258,-1.0621003757448269,0.3772985348237669,0.6142463144568039,0.03649405419752746,descriptive_alignment_not_confounding_proof
CEBPE+SET,CEBPE,SET,0.06475290315939701,0.0820011399144982,1.266370091741564,-1.8814169520369453,0.37657254880075436,0.6136550731483887,0.06474598620708626,descriptive_alignment_not_confounding_proof
CBL+UBASH3B,CBL,UBASH3B,0.10144626446525569,0.04518136069494105,0.44537234498580486,1.0317884690068753,0.37306203875704846,-0.6107880473266063,0.03577433666699634,descriptive_alignment_not_confounding_proof
CNN1+UBASH3B,CNN1,UBASH3B,0.10911585774764242,0.040223959390483975,0.36863532231503776,0.9137150653309078,0.36912228672347913,-0.6075543487816372,0.03194901037179154,descriptive_alignment_not_confounding_proof
CEBPE+PTPN12,CEBPE,PTPN12,0.04943578250611895,0.06259172936668066,1.266121950409773,-1.3944215675448768,0.3550361801742134,0.5958491253448422,0.050267192217579616,descriptive_alignment_not_confounding_proof
CEBPE+KLF1,CEBPE,KLF1,0.051087609301856685,0.07171913951389401,1.4038460694086055,-1.581041201310732,0.34764386228984606,0.5896133159027585,0.057926521080805,descriptive_alignment_not_confounding_proof
IKZF3+MAPK1,IKZF3,MAPK1,0.08733387937573713,0.04886652391090156,0.5595368516800083,-1.0619139539482723,0.33781123788762824,0.5812153111262884,0.039765124813202206,descriptive_alignment_not_confounding_proof
MAPK1+PRTG,MAPK1,PRTG,0.05313632119192925,0.046286030379296454,0.871080822703374,-1.0005293941191178,0.33425519332112974,0.5781480721416701,0.03776624704420971,descriptive_alignment_not_confounding_proof
RHOXF2BB+SET,RHOXF2BB,SET,0.09158493073357417,0.04689111672793338,0.5119959839718865,-1.0078786388441041,0.33048645272699356,0.5748795114865318,0.038368097083007174,descriptive_alignment_not_confounding_proof
