component,pole,genes,loadings,singular_value,interpretation
1,positive,LST1|AIF1|VIM|RP11-301G19.1|TYROBP|TMSB4X|CFD|S100A11|CSF3R|SH3BGRL3|PNRC1|ARHGDIB|VAMP8,0.165558|0.137233|0.134007|0.131018|0.12564|0.121635|0.11771|0.110463|0.109006|0.101849|0.0965206|0.0940792|0.0928063,41.47171522672232,data_only_signed_loading_not_named_pathway
1,negative,HBZ|HBG2|HBG1|GYPB|GYPA|RP11-717F1.1|APOE,-0.288788|-0.225312|-0.139437|-0.127266|-0.109827|-0.104545|-0.0950524,41.47171522672232,data_only_signed_loading_not_named_pathway
2,positive,NME1|RANBP1|SRM|PTMA|UBE2S|GAL|DDX21|LDHA|ENO1|HSPD1|CACYBP|ODC1,0.122033|0.119721|0.119483|0.116336|0.112604|0.106962|0.106784|0.0991887|0.0976688|0.0976467|0.0974296|0.0963106,29.245654671123408,data_only_signed_loading_not_named_pathway
2,negative,HBZ|HBG2|GYPB|ALAS2|MALAT1|HBG1|NEAT1|HBA1,-0.281878|-0.211834|-0.16493|-0.160066|-0.153724|-0.145672|-0.132117|-0.108074,29.245654671123408,data_only_signed_loading_not_named_pathway
3,positive,LAPTM4B|SOCS2|LY6E|GYPB|S100A13|ATF7IP2|SMYD3|PDE4DIP|ID3|MEF2C,0.158218|0.153415|0.143491|0.132755|0.125308|0.102759|0.097743|0.0956932|0.0900459|0.0896124,20.24700447616611,data_only_signed_loading_not_named_pathway
3,negative,HBZ|LST1|HBA1|CFD|HBG2|MS4A3|CEBPE|HBG1|CLC|CSF3R,-0.363843|-0.171576|-0.141459|-0.136775|-0.126627|-0.114751|-0.111129|-0.105318|-0.101169|-0.0975811,20.24700447616611,data_only_signed_loading_not_named_pathway
4,positive,APOC1,0.140798,15.654845827116134,data_only_signed_loading_not_named_pathway
4,negative,HBG2|SH3BGRL3|HBG1|FEV|GYPA|TMSB4X|CLIC1|PIM1|EMP3|GYPB|HBZ|FCER1G|CD63|MYL6|UFD1L|TMSB10|PNMT|MPC2|CCND3,-0.23407|-0.20941|-0.185693|-0.160736|-0.121738|-0.117698|-0.117253|-0.112845|-0.112492|-0.109047|-0.107108|-0.105044|-0.103632|-0.100971|-0.097977|-0.0977485|-0.0963194|-0.0961193|-0.0948672,15.654845827116134,data_only_signed_loading_not_named_pathway
5,positive,TMSB10|HBZ|GAL|GMPPA|VIM|LGALS1|S100A11|EMP3|PNMT|SOCS2|CTSC|HBA1,0.212559|0.180778|0.176041|0.154727|0.148014|0.140148|0.137702|0.122572|0.114429|0.0999958|0.0989589|0.096519,12.47162101911159,data_only_signed_loading_not_named_pathway
5,negative,HIST1H1C|MYL4|AIF1|FEV|IFITM2|IDH2|MT2A|APOE,-0.181505|-0.159569|-0.146821|-0.137803|-0.124222|-0.107548|-0.103907|-0.0984114,12.47162101911159,data_only_signed_loading_not_named_pathway
