split,model,canonical_perturbation,mse,mae,delta_pearson,cosine
train,control_only,AHR,0.0025617227926831494,0.015092729585799125,,
train,control_only,ARID1A,0.00562116417255541,0.023448508466827965,,
train,control_only,ARRDC3,0.0004905890446714522,0.0069705649824469565,,
train,control_only,ATL1,0.005092029215534586,0.02014868038970911,,
train,control_only,BAK1,0.00023856881768330972,0.003803093553996065,,
train,control_only,BCL2L11,0.00016869234532376805,0.0040173684590761975,,
train,control_only,BCORL1,0.0006751569878751398,0.007146461889014051,,
train,control_only,BPGM,0.002707042929094417,0.012600708288589512,,
train,control_only,C19orf26,0.0008964109643275326,0.0084283253141959,,
train,control_only,C3orf72,0.0033198052370017155,0.018422478306958687,,
train,control_only,CBFA2T3,0.0012857007970102927,0.010401101692631915,,
train,control_only,CBL,0.00186720301528444,0.010718850140876687,,
train,control_only,CDKN1A,0.003381932863242097,0.0160286641424015,,
train,control_only,CDKN1B,0.0020892287548753877,0.01307063664641907,,
train,control_only,CDKN1C,0.0035260274498342225,0.01735912350764787,,
train,control_only,CEBPA,0.03611061505990961,0.06099102331429436,,
train,control_only,CEBPB,0.007894077965512432,0.02793588073439013,,
train,control_only,CEBPE,0.009382984086705093,0.02983242890933084,,
train,control_only,CELF2,0.0012561951837356579,0.010462826213070263,,
train,control_only,CITED1,0.003303643503536019,0.018420176826112997,,
train,control_only,CKS1B,0.0038348909425285423,0.01774231619375422,,
train,control_only,CLDN6,0.00537039630425084,0.019380985534530226,,
train,control_only,CNN1,0.003249470086570719,0.012575316489817023,,
train,control_only,CNNM4,0.0018961347328891964,0.008937736714189657,,
train,control_only,COL1A1,0.005816253576859458,0.021744618579273414,,
train,control_only,COL2A1,0.0047139114145768315,0.0185086180448294,,
train,control_only,CSRNP1,0.0006077286804503729,0.00767298382222088,,
train,control_only,DLX2,0.001928056014256566,0.01152115191666517,,
train,control_only,DUSP9,0.0058981804019238955,0.019714612036492343,,
train,control_only,EGR1,0.0014609207434415326,0.011549542326378259,,
train,control_only,ELMSAN1,0.0007992806554945629,0.007545843530611477,,
train,control_only,ETS2,0.002265739068144411,0.01245941858528282,,
train,control_only,FEV,0.0052233026021628135,0.01832219598082586,,
train,control_only,FOSB,0.002218514475570742,0.013533372720338971,,
train,control_only,FOXA1,0.001113442783780194,0.009911297854964722,,
train,control_only,FOXA3,0.001890602839063686,0.014041780778150336,,
train,control_only,FOXF1,0.000530985577465918,0.007328912423223989,,
train,control_only,FOXL2,0.0021424634560744758,0.014475732551103888,,
train,control_only,FOXO4,0.00337748518728175,0.017826977792023493,,
train,control_only,GLB1L2,0.0014232690735446246,0.009310095448719377,,
train,control_only,HES7,0.010334216924022642,0.03190619877991445,,
train,control_only,HK2,0.0006492419652591852,0.00798495742068258,,
train,control_only,HNF4A,0.004501503676864953,0.020582484925086186,,
train,control_only,HOXA13,0.00844388033316707,0.029530261095849546,,
train,control_only,HOXB9,0.0020788877308504853,0.014210771255468511,,
train,control_only,HOXC13,0.004558677860766189,0.021420922974122198,,
train,control_only,IER5L,0.0030930123584679754,0.015590840576393079,,
train,control_only,IGDCC3,0.0029606940533041808,0.014574713995870825,,
train,control_only,IKZF3,0.01174100961559179,0.02629043352607719,,
train,control_only,IRF1,0.005388296976150866,0.01958634694471029,,
train,control_only,ISL2,0.00041504137364311314,0.006495293676913596,,
train,control_only,JUN,0.003075994370930912,0.016231412866817552,,
train,control_only,KIAA1804,0.0009040623267582703,0.009391930497565528,,
train,control_only,KIF18B,0.0006958292575980355,0.008487256812749913,,
train,control_only,KIF2C,0.00037658743087266947,0.005122592654100406,,
train,control_only,KLF1,0.0032321268946472912,0.011512460798706596,,
train,control_only,KMT2A,0.0007510347083951375,0.00865290045143137,,
train,control_only,LHX1,0.002781172607183629,0.01355084503356486,,
train,control_only,LYL1,0.0009182322271793339,0.007877028019771226,,
train,control_only,MAML2,0.0004023967059222734,0.006119741093477383,,
train,control_only,MAP2K3,0.0009767373533751398,0.009147633873469896,,
train,control_only,MAP2K6,0.0005563181374244104,0.007052826659927527,,
train,control_only,MAP4K3,0.00039012790812164704,0.006674643552990754,,
train,control_only,MAP4K5,0.000445655549640741,0.0071401359560366185,,
train,control_only,MAP7D1,0.0004989942343595137,0.005502086893016472,,
train,control_only,MAPK1,0.004681988615485898,0.017970698617251743,,
train,control_only,MEIS1,0.0005732344159474159,0.007283341290579337,,
train,control_only,MIDN,0.00435844151250568,0.020790241839704206,,
train,control_only,NCL,0.0005238359815485509,0.0077605352940605865,,
train,control_only,NIT1,0.003595782954140349,0.019850622698020924,,
train,control_only,OSR2,0.0033507137394318707,0.016879656933137487,,
train,control_only,PLK4,0.0007214935586652311,0.009854591282576224,,
train,control_only,POU3F2,0.0016096418131573062,0.011993020744237881,,
train,control_only,PRDM1,0.007506321582557772,0.022636010123468935,,
train,control_only,PRTG,0.003760101622644615,0.015555366137168116,,
train,control_only,PTPN1,0.004484410671187845,0.01767571459924739,,
train,control_only,PTPN12,0.0018926903401317646,0.011456262689180746,,
train,control_only,PTPN13,0.0016959433950553254,0.012265144326448051,,
train,control_only,PTPN9,0.0012161612361223308,0.01026956933132281,,
train,control_only,RHOXF2BB,0.004934213881841758,0.020653926563585903,,
train,control_only,RREB1,0.001801229931510317,0.01227157345422971,,
train,control_only,RUNX1T1,0.00028103574425892604,0.0050287890441587,,
train,control_only,S1PR2,0.0031497541226826226,0.014723554622426357,,
train,control_only,SAMD1,0.002890110722281756,0.015696582875298074,,
train,control_only,SET,0.004926910502827411,0.019704011338808874,,
train,control_only,SGK1,0.002485428355048208,0.014183611063924267,,
train,control_only,SLC38A2,0.0004493493526672129,0.006618571488125988,,
train,control_only,SLC4A1,0.0027127149020959194,0.014051981805012607,,
train,control_only,SLC6A9,0.0012898672792560116,0.010232089208201503,,
train,control_only,SNAI1,0.002300017114924532,0.014742556447679224,,
train,control_only,SPI1,0.00835132212721688,0.02794282364393684,,
train,control_only,STIL,0.0007101653032518456,0.009017658213069919,,
train,control_only,TBX2,0.0032542981156323276,0.014125566682906562,,
train,control_only,TBX3,0.0040418200153433045,0.011033010562883595,,
train,control_only,TGFBR2,0.00033022801685799114,0.005217280727759831,,
train,control_only,TMSB4X,0.0013322456917748695,0.0061778493890764005,,
train,control_only,TP73,0.0164338660360897,0.03720438080492865,,
train,control_only,TSC22D1,0.0007053982861063384,0.0074483205506221456,,
train,control_only,UBASH3A,0.0003235617824846645,0.0056624896512313125,,
train,control_only,UBASH3B,0.0010217238180002966,0.008613997018241238,,
train,control_only,ZBTB1,0.003194795970427529,0.014449559613360698,,
train,control_only,ZBTB10,0.006941718758601309,0.02687489105526029,,
train,control_only,ZBTB25,0.0015960687750110883,0.010245231891857305,,
train,control_only,ZC3HAV1,0.0006260237179900797,0.0070970962564205365,,
train,control_only,ZNF318,0.000589256335625282,0.007118784909736009,,
train,control_only,AHR+FEV,0.015397486687063032,0.03602504721862407,,
train,control_only,BAK1+BCL2L11,0.0004077181898685536,0.006915665655038601,,
train,control_only,BCL2L11+TGFBR2,0.0008233587841196399,0.007349392665252983,,
train,control_only,BPGM+SAMD1,0.006242040939988203,0.020412751311100433,,
train,control_only,C19orf26+TGFBR2,0.0034397419702551584,0.016561154099981636,,
train,control_only,CBL+PTPN12,0.007399488807360016,0.021154637084937727,,
