canonical_perturbation,n_targets,original_condition_labels,n_original_labels,total_n,B_heldout_combination,n_lane_1,n_lane_2,n_lane_3,n_lane_4,n_lane_5,n_lane_6,n_lane_7,n_lane_8
AHR,1,AHR+ctrl,1,479,train,59,52,62,60,59,48,60,79
AHR+FEV,2,AHR+FEV,1,264,train,37,27,41,29,27,36,33,34
AHR+KLF1,2,AHR+KLF1,1,412,test,59,46,59,36,47,60,59,46
ARID1A,1,ARID1A+ctrl,1,182,train,24,25,21,29,25,14,23,21
ARRDC3,1,ARRDC3+ctrl,1,405,train,59,47,50,54,48,44,52,51
ATL1,1,ATL1+ctrl,1,305,train,31,26,44,36,44,39,46,39
BAK1,1,BAK1+ctrl|ctrl+BAK1,2,1171,train,139,144,155,136,143,138,170,146
BAK1+BCL2L11,2,BCL2L11+BAK1,1,153,train,15,16,23,16,19,24,20,20
BAK1+KLF1,2,KLF1+BAK1,1,323,validation,60,44,37,34,37,33,35,43
BAK1+TMSB4X,2,TMSB4X+BAK1,1,267,validation,46,40,31,22,33,26,31,38
BCL2L11,1,BCL2L11+ctrl,1,463,train,66,57,50,60,55,53,57,65
BCL2L11+TGFBR2,2,BCL2L11+TGFBR2,1,382,train,53,60,40,44,41,45,49,50
BCORL1,1,BCORL1+ctrl,1,456,train,62,54,63,52,51,54,53,67
BPGM,1,BPGM+ctrl,1,393,train,60,42,55,46,47,44,45,54
BPGM+SAMD1,2,BPGM+SAMD1,1,240,train,45,16,36,25,28,27,36,27
BPGM+ZBTB1,2,BPGM+ZBTB1,1,283,validation,37,42,40,31,39,28,35,31
C19orf26,1,C19orf26+ctrl|ctrl+C19orf26,2,750,train,117,104,90,71,81,94,100,93
C19orf26+TGFBR2,2,TGFBR2+C19orf26,1,274,train,37,47,28,31,26,28,33,44
C3orf72,1,C3orf72+ctrl,1,217,train,31,31,30,26,25,20,32,22
C3orf72+FOXL2,2,C3orf72+FOXL2,1,49,test,6,7,9,6,6,4,5,6
CBFA2T3,1,CBFA2T3+ctrl|ctrl+CBFA2T3,2,531,train,79,62,61,49,60,73,74,73
CBFA2T3+FEV,2,FEV+CBFA2T3,1,153,validation,23,13,20,18,15,28,15,21
CBFA2T3+POU3F2,2,POU3F2+CBFA2T3,1,202,test,26,25,31,27,27,20,28,18
CBFA2T3+PRDM1,2,PRDM1+CBFA2T3,1,109,test,24,8,13,13,18,11,7,15
CBL,1,CBL+ctrl,1,538,train,79,70,64,58,68,71,56,72
CBL+CNN1,2,CBL+CNN1,1,288,test,29,33,38,35,34,44,32,43
CBL+PTPN12,2,CBL+PTPN12,1,257,train,28,42,39,26,34,33,30,25
CBL+PTPN9,2,CBL+PTPN9,1,234,train,33,26,23,32,25,31,33,31
CBL+TGFBR2,2,CBL+TGFBR2,1,156,train,21,35,12,14,19,22,13,20
CBL+UBASH3A,2,CBL+UBASH3A,1,50,train,9,6,2,7,3,6,9,8
CBL+UBASH3B,2,CBL+UBASH3B,1,326,train,42,42,45,32,46,36,46,37
CDKN1A,1,CDKN1A+ctrl|ctrl+CDKN1A,2,275,train,36,36,33,29,31,39,36,35
CDKN1A+CDKN1B,2,CDKN1B+CDKN1A,1,98,train,12,9,14,6,8,13,18,18
CDKN1A+CDKN1C,2,CDKN1C+CDKN1A,1,80,train,7,17,9,6,14,9,8,10
CDKN1B,1,CDKN1B+ctrl|ctrl+CDKN1B,2,413,train,45,44,54,44,54,46,70,56
CDKN1B+CDKN1C,2,CDKN1C+CDKN1B,1,79,train,14,4,11,11,12,5,7,15
CDKN1C,1,CDKN1C+ctrl,1,165,train,15,18,17,18,16,27,31,23
CEBPA,1,CEBPA+ctrl|ctrl+CEBPA,2,580,train,66,64,67,71,80,70,89,73
CEBPA+CEBPB,2,CEBPB+CEBPA,1,75,test,13,10,11,7,8,13,5,8
CEBPA+CEBPE,2,CEBPE+CEBPA,1,240,validation,31,27,35,24,24,35,29,35
CEBPA+JUN,2,JUN+CEBPA,1,70,train,7,9,5,10,6,7,14,12
CEBPA+KLF1,2,KLF1+CEBPA,1,308,train,41,41,36,45,32,34,40,39
CEBPA+ZC3HAV1,2,ZC3HAV1+CEBPA,1,124,validation,16,14,24,21,11,12,11,15
CEBPB,1,CEBPB+ctrl|ctrl+CEBPB,2,422,train,65,44,60,45,40,53,55,60
CEBPB+CEBPE,2,CEBPE+CEBPB,1,111,validation,19,12,11,12,17,11,9,20
CEBPB+FOSB,2,FOSB+CEBPB,1,85,train,11,7,9,11,13,12,11,11
CEBPB+JUN,2,JUN+CEBPB,1,52,train,5,8,8,6,5,8,9,3
CEBPB+LYL1,2,LYL1+CEBPB,1,159,test,15,16,22,24,19,22,21,20
CEBPB+MAPK1,2,CEBPB+MAPK1,1,337,train,40,32,42,41,48,50,36,48
CEBPB+OSR2,2,CEBPB+OSR2,1,188,train,26,26,23,25,12,31,16,29
CEBPB+PTPN12,2,CEBPB+PTPN12,1,266,train,31,35,26,38,35,40,31,30
CEBPE,1,CEBPE+ctrl|ctrl+CEBPE,2,1039,train,116,122,127,137,118,128,155,136
CEBPE+CNN1,2,CEBPE+CNN1,1,194,train,26,33,23,22,20,23,21,26
CEBPE+ETS2,2,ETS2+CEBPE,1,320,train,42,35,48,40,31,30,50,44
CEBPE+FOSB,2,FOSB+CEBPE,1,142,test,20,14,20,12,9,22,24,21
CEBPE+KLF1,2,CEBPE+KLF1,1,389,train,55,50,46,38,56,47,53,44
CEBPE+PTPN12,2,CEBPE+PTPN12,1,317,test,49,35,45,46,42,29,34,37
CEBPE+RUNX1T1,2,CEBPE+RUNX1T1,1,1030,train,128,130,125,142,126,105,139,135
CEBPE+SET,2,SET+CEBPE,1,529,test,65,58,76,67,71,63,70,59
CEBPE+SPI1,2,CEBPE+SPI1,1,175,train,14,21,25,18,23,25,22,27
CEBPE+ZC3HAV1,2,ZC3HAV1+CEBPE,1,346,test,36,37,48,43,48,46,39,49
CELF2,1,CELF2+ctrl,1,388,train,59,35,51,58,40,47,49,49
CITED1,1,CITED1+ctrl,1,169,train,17,15,21,22,23,20,24,27
CKS1B,1,CKS1B+ctrl,1,189,train,17,34,30,22,22,19,23,22
CLDN6,1,CLDN6+ctrl|ctrl+CLDN6,2,544,train,74,69,59,73,62,70,75,62
CLDN6+KLF1,2,KLF1+CLDN6,1,215,train,27,24,26,25,31,25,29,28
CNN1,1,CNN1+ctrl|ctrl+CNN1,2,636,train,87,85,76,79,67,72,86,84
CNN1+ETS2,2,ETS2+CNN1,1,785,train,93,102,109,96,89,104,100,92
CNN1+MAPK1,2,CNN1+MAPK1,1,325,train,50,45,39,35,37,42,30,47
CNN1+UBASH3A,2,CNN1+UBASH3A,1,144,train,19,16,18,12,16,18,23,22
CNN1+UBASH3B,2,UBASH3B+CNN1,1,355,train,59,53,44,43,45,43,34,34
CNNM4,1,CNNM4+ctrl,1,376,train,52,44,47,53,54,46,45,35
COL1A1,1,COL1A1+ctrl,1,257,train,37,29,40,29,34,24,34,30
COL2A1,1,COL2A1+ctrl|ctrl+COL2A1,2,474,train,63,48,63,48,74,60,58,60
COL2A1+KLF1,2,KLF1+COL2A1,1,251,validation,34,27,31,38,27,29,31,34
CSRNP1,1,CSRNP1+ctrl,1,354,train,43,51,51,43,31,39,51,45
DLX2,1,DLX2+ctrl|ctrl+DLX2,2,606,train,85,70,81,82,74,72,83,59
DLX2+SNAI1,2,SNAI1+DLX2,1,107,test,13,9,8,23,17,9,11,17
DLX2+ZBTB10,2,ZBTB10+DLX2,1,74,train,6,13,12,9,7,8,11,8
DUSP9,1,DUSP9+ctrl,1,662,train,86,94,77,89,84,65,83,84
DUSP9+ETS2,2,DUSP9+ETS2,1,698,test,97,98,85,79,97,78,85,79
DUSP9+IGDCC3,2,DUSP9+IGDCC3,1,323,train,40,39,38,49,36,43,37,41
DUSP9+KLF1,2,DUSP9+KLF1,1,320,train,60,37,34,38,35,37,49,30
DUSP9+MAPK1,2,DUSP9+MAPK1,1,247,train,35,30,32,27,30,32,29,32
DUSP9+PRTG,2,DUSP9+PRTG,1,238,train,33,17,50,36,28,24,22,28
DUSP9+SNAI1,2,DUSP9+SNAI1,1,168,train,20,23,21,19,18,17,26,24
EGR1,1,EGR1+ctrl,1,261,train,38,28,37,29,28,35,32,34
ELMSAN1,1,ELMSAN1+ctrl|ctrl+ELMSAN1,2,783,train,107,105,93,90,84,92,106,106
ELMSAN1+LHX1,2,LHX1+ELMSAN1,1,547,train,78,74,62,56,65,83,63,66
ELMSAN1+MAP2K3,2,MAP2K3+ELMSAN1,1,484,train,60,70,52,65,61,48,61,67
ELMSAN1+MAP2K6,2,MAP2K6+ELMSAN1,1,365,train,53,46,49,37,37,55,53,35
ELMSAN1+ZBTB10,2,ZBTB10+ELMSAN1,1,161,train,22,17,20,19,22,18,20,23
ETS2,1,ETS2+ctrl|ctrl+ETS2,2,1031,train,128,127,131,121,127,111,147,139
ETS2+IGDCC3,2,ETS2+IGDCC3,1,365,validation,59,36,47,38,57,36,49,43
ETS2+IKZF3,2,ETS2+IKZF3,1,388,train,40,51,52,49,51,39,57,49
ETS2+MAP7D1,2,ETS2+MAP7D1,1,265,train,31,40,32,34,34,30,30,34
ETS2+MAPK1,2,ETS2+MAPK1,1,432,train,50,55,61,49,47,57,61,52
ETS2+PRTG,2,ETS2+PRTG,1,354,validation,49,50,46,32,42,52,34,49
ETS2+TGFBR2,2,TGFBR2+ETS2,1,275,train,35,29,31,37,26,44,29,44
FEV,1,FEV+ctrl|ctrl+FEV,2,647,train,89,82,64,74,91,67,86,94
FEV+ISL2,2,FEV+ISL2,1,272,validation,34,25,34,38,41,30,38,32
FEV+MAP7D1,2,FEV+MAP7D1,1,246,validation,27,31,37,25,25,28,37,36
FOSB,1,FOSB+ctrl,1,502,train,65,62,76,53,52,54,68,72
FOSB+IKZF3,2,FOSB+IKZF3,1,204,train,27,19,26,30,17,24,29,32
FOSB+OSR2,2,FOSB+OSR2,1,324,train,35,47,40,44,35,47,41,35
FOSB+PTPN12,2,FOSB+PTPN12,1,291,train,39,37,43,37,30,45,29,31
FOSB+UBASH3B,2,FOSB+UBASH3B,1,363,train,47,49,44,40,44,38,50,51
FOXA1,1,FOXA1+ctrl|ctrl+FOXA1,2,761,train,122,94,84,69,98,90,96,108
FOXA1+FOXA3,2,FOXA3+FOXA1,1,181,train,28,22,20,25,23,17,24,22
FOXA1+FOXF1,2,FOXA1+FOXF1,1,237,train,29,27,24,24,34,31,30,38
FOXA1+FOXL2,2,FOXA1+FOXL2,1,179,test,24,22,28,14,18,25,20,28
FOXA1+HOXB9,2,FOXA1+HOXB9,1,266,train,36,39,33,31,33,31,37,26
FOXA1+KLF1,2,KLF1+FOXA1,1,323,validation,43,44,34,35,33,44,57,33
FOXA3,1,FOXA3+ctrl,1,409,train,51,53,56,48,51,54,38,58
FOXA3+FOXF1,2,FOXA3+FOXF1,1,146,validation,17,14,19,25,12,20,19,20
FOXA3+FOXL2,2,FOXA3+FOXL2,1,113,test,17,13,12,18,7,20,15,11
FOXA3+HOXB9,2,FOXA3+HOXB9,1,301,test,33,47,37,38,46,35,31,34
FOXF1,1,FOXF1+ctrl|ctrl+FOXF1,2,715,train,100,86,99,88,71,86,98,87
FOXF1+FOXL2,2,FOXF1+FOXL2,1,173,test,29,30,24,14,17,19,22,18
FOXF1+HOXB9,2,FOXF1+HOXB9,1,173,test,30,21,19,23,16,28,13,23
FOXL2,1,FOXL2+ctrl|ctrl+FOXL2,2,544,train,67,78,71,60,59,69,63,77
FOXL2+HOXB9,2,FOXL2+HOXB9,1,87,validation,14,12,15,9,10,10,8,9
FOXL2+MEIS1,2,FOXL2+MEIS1,1,177,test,20,24,20,18,28,22,23,22
FOXL2+POU3F2,2,POU3F2+FOXL2,1,286,test,48,32,34,34,40,31,26,41
FOXL2+ZNF318,2,ZNF318+FOXL2,1,197,train,32,23,33,14,16,26,28,25
FOXO4,1,FOXO4+ctrl,1,189,train,28,20,13,26,27,23,26,26
GLB1L2,1,GLB1L2+ctrl,1,378,train,46,50,52,49,36,39,56,50
HES7,1,HES7+ctrl,1,122,train,20,17,17,13,18,9,15,13
HK2,1,HK2+ctrl,1,249,train,32,27,34,33,33,29,36,25
HNF4A,1,HNF4A+ctrl,1,202,train,32,26,20,25,26,29,22,22
HOXA13,1,HOXA13+ctrl,1,230,train,26,25,45,17,34,18,30,35
HOXB9,1,HOXB9+ctrl|ctrl+HOXB9,2,612,train,83,74,83,72,87,73,75,65
HOXC13,1,HOXC13+ctrl|ctrl+HOXC13,2,343,train,61,46,37,40,26,47,33,53
HOXC13+ZC3HAV1,2,ZC3HAV1+HOXC13,1,543,train,69,88,71,45,59,66,70,75
IER5L,1,IER5L+ctrl|ctrl+IER5L,2,327,train,54,57,38,37,20,43,36,42
IER5L+LYL1,2,LYL1+IER5L,1,547,validation,86,59,63,75,69,73,56,66
IGDCC3,1,IGDCC3+ctrl|ctrl+IGDCC3,2,507,train,74,62,65,53,58,67,49,79
IGDCC3+MAPK1,2,IGDCC3+MAPK1,1,293,validation,42,33,32,27,41,51,37,30
IGDCC3+PRTG,2,IGDCC3+PRTG,1,108,train,17,10,10,17,12,11,11,20
IGDCC3+TGFBR2,2,TGFBR2+IGDCC3,1,262,train,31,32,37,41,34,42,20,25
IGDCC3+ZBTB25,2,IGDCC3+ZBTB25,1,99,validation,19,13,14,6,5,16,12,14
IKZF3,1,IKZF3+ctrl|ctrl+IKZF3,2,583,train,92,75,66,67,63,74,75,71
IKZF3+MAP2K3,2,MAP2K3+IKZF3,1,220,train,26,28,31,24,30,24,24,33
IKZF3+MAP2K6,2,MAP2K6+IKZF3,1,251,train,39,27,38,22,24,31,33,37
IKZF3+MAPK1,2,MAPK1+IKZF3,1,264,test,44,26,29,33,33,27,40,32
IRF1,1,IRF1+ctrl,1,331,train,41,49,36,27,40,53,40,45
IRF1+SET,2,IRF1+SET,1,367,train,66,38,61,37,35,40,43,47
ISL2,1,ISL2+ctrl|ctrl+ISL2,2,485,train,61,58,45,60,72,71,61,57
JUN,1,JUN+ctrl,1,235,train,40,39,32,14,28,26,30,26
KIAA1804,1,KIAA1804+ctrl,1,212,train,29,22,33,16,29,31,28,24
KIF18B,1,KIF18B+ctrl,1,212,train,25,40,22,27,26,20,31,21
KIF18B+KIF2C,2,KIF18B+KIF2C,1,83,train,16,4,12,9,5,10,12,15
KIF2C,1,KIF2C+ctrl|ctrl+KIF2C,2,518,train,58,73,63,70,63,67,55,69
KLF1,1,KLF1+ctrl|ctrl+KLF1,2,1641,train,248,189,223,207,187,201,195,191
KLF1+MAP2K6,2,KLF1+MAP2K6,1,222,test,38,28,30,22,23,23,30,28
KLF1+SET,2,SET+KLF1,1,541,train,80,51,68,76,67,60,65,74
KLF1+TGFBR2,2,KLF1+TGFBR2,1,263,validation,43,29,33,34,20,30,33,41
