split,canonical_perturbation,n_targets
train,AHR,1
train,ARID1A,1
train,ARRDC3,1
train,ATL1,1
train,BAK1,1
train,BCL2L11,1
train,BCORL1,1
train,BPGM,1
train,C19orf26,1
train,C3orf72,1
train,CBFA2T3,1
train,CBL,1
train,CDKN1A,1
train,CDKN1B,1
train,CDKN1C,1
train,CEBPA,1
train,CEBPB,1
train,CEBPE,1
train,CELF2,1
train,CITED1,1
train,CKS1B,1
train,CLDN6,1
train,CNN1,1
train,CNNM4,1
train,COL1A1,1
train,COL2A1,1
train,CSRNP1,1
train,DLX2,1
train,DUSP9,1
train,EGR1,1
train,ELMSAN1,1
train,ETS2,1
train,FEV,1
train,FOSB,1
train,FOXA1,1
train,FOXA3,1
train,FOXF1,1
train,FOXL2,1
train,FOXO4,1
train,GLB1L2,1
train,HES7,1
train,HK2,1
train,HNF4A,1
train,HOXA13,1
train,HOXB9,1
train,HOXC13,1
train,IER5L,1
train,IGDCC3,1
train,IKZF3,1
train,IRF1,1
train,ISL2,1
train,JUN,1
train,KIAA1804,1
train,KIF18B,1
train,KIF2C,1
train,KLF1,1
train,KMT2A,1
train,LHX1,1
train,LYL1,1
train,MAML2,1
train,MAP2K3,1
train,MAP2K6,1
train,MAP4K3,1
train,MAP4K5,1
train,MAP7D1,1
train,MAPK1,1
train,MEIS1,1
train,MIDN,1
train,NCL,1
train,NIT1,1
train,OSR2,1
train,PLK4,1
train,POU3F2,1
train,PRDM1,1
train,PRTG,1
train,PTPN1,1
train,PTPN12,1
train,PTPN13,1
train,PTPN9,1
train,RHOXF2BB,1
train,RREB1,1
train,RUNX1T1,1
train,S1PR2,1
train,SAMD1,1
train,SET,1
train,SGK1,1
train,SLC38A2,1
train,SLC4A1,1
train,SLC6A9,1
train,SNAI1,1
train,SPI1,1
train,STIL,1
train,TBX2,1
train,TBX3,1
train,TGFBR2,1
train,TMSB4X,1
train,TP73,1
train,TSC22D1,1
train,UBASH3A,1
train,UBASH3B,1
train,ZBTB1,1
train,ZBTB10,1
train,ZBTB25,1
train,ZC3HAV1,1
train,ZNF318,1
train,AHR+FEV,2
train,BAK1+BCL2L11,2
train,BCL2L11+TGFBR2,2
train,BPGM+SAMD1,2
train,C19orf26+TGFBR2,2
train,CBL+PTPN12,2
train,CBL+PTPN9,2
train,CBL+TGFBR2,2
train,CBL+UBASH3A,2
train,CBL+UBASH3B,2
train,CDKN1A+CDKN1B,2
train,CDKN1A+CDKN1C,2
train,CDKN1B+CDKN1C,2
train,CEBPA+JUN,2
train,CEBPA+KLF1,2
train,CEBPB+FOSB,2
train,CEBPB+JUN,2
train,CEBPB+MAPK1,2
train,CEBPB+OSR2,2
train,CEBPB+PTPN12,2
train,CEBPE+CNN1,2
train,CEBPE+ETS2,2
train,CEBPE+KLF1,2
train,CEBPE+RUNX1T1,2
train,CEBPE+SPI1,2
train,CLDN6+KLF1,2
train,CNN1+ETS2,2
train,CNN1+MAPK1,2
train,CNN1+UBASH3A,2
train,CNN1+UBASH3B,2
train,DLX2+ZBTB10,2
train,DUSP9+IGDCC3,2
train,DUSP9+KLF1,2
train,DUSP9+MAPK1,2
train,DUSP9+PRTG,2
train,DUSP9+SNAI1,2
train,ELMSAN1+LHX1,2
train,ELMSAN1+MAP2K3,2
train,ELMSAN1+MAP2K6,2
train,ELMSAN1+ZBTB10,2
train,ETS2+IKZF3,2
