condition,n_cells,target_genes,n_targets,canonical_perturbation
AHR+FEV,264,AHR+FEV,2,AHR+FEV
AHR+KLF1,412,AHR+KLF1,2,AHR+KLF1
AHR+ctrl,479,AHR,1,AHR
ARID1A+ctrl,182,ARID1A,1,ARID1A
ARRDC3+ctrl,405,ARRDC3,1,ARRDC3
ATL1+ctrl,305,ATL1,1,ATL1
BAK1+ctrl,534,BAK1,1,BAK1
BCL2L11+BAK1,153,BAK1+BCL2L11,2,BAK1+BCL2L11
BCL2L11+TGFBR2,382,BCL2L11+TGFBR2,2,BCL2L11+TGFBR2
BCL2L11+ctrl,463,BCL2L11,1,BCL2L11
BCORL1+ctrl,456,BCORL1,1,BCORL1
BPGM+SAMD1,240,BPGM+SAMD1,2,BPGM+SAMD1
BPGM+ZBTB1,283,BPGM+ZBTB1,2,BPGM+ZBTB1
BPGM+ctrl,393,BPGM,1,BPGM
C19orf26+ctrl,480,C19orf26,1,C19orf26
C3orf72+FOXL2,49,C3orf72+FOXL2,2,C3orf72+FOXL2
C3orf72+ctrl,217,C3orf72,1,C3orf72
CBFA2T3+ctrl,288,CBFA2T3,1,CBFA2T3
CBL+CNN1,288,CBL+CNN1,2,CBL+CNN1
CBL+PTPN12,257,CBL+PTPN12,2,CBL+PTPN12
CBL+PTPN9,234,CBL+PTPN9,2,CBL+PTPN9
CBL+TGFBR2,156,CBL+TGFBR2,2,CBL+TGFBR2
CBL+UBASH3A,50,CBL+UBASH3A,2,CBL+UBASH3A
CBL+UBASH3B,326,CBL+UBASH3B,2,CBL+UBASH3B
CBL+ctrl,538,CBL,1,CBL
CDKN1A+ctrl,144,CDKN1A,1,CDKN1A
CDKN1B+CDKN1A,98,CDKN1A+CDKN1B,2,CDKN1A+CDKN1B
CDKN1B+ctrl,268,CDKN1B,1,CDKN1B
CDKN1C+CDKN1A,80,CDKN1A+CDKN1C,2,CDKN1A+CDKN1C
CDKN1C+CDKN1B,79,CDKN1B+CDKN1C,2,CDKN1B+CDKN1C
CDKN1C+ctrl,165,CDKN1C,1,CDKN1C
CEBPA+ctrl,322,CEBPA,1,CEBPA
CEBPB+CEBPA,75,CEBPA+CEBPB,2,CEBPA+CEBPB
CEBPB+MAPK1,337,CEBPB+MAPK1,2,CEBPB+MAPK1
CEBPB+OSR2,188,CEBPB+OSR2,2,CEBPB+OSR2
