barcode_group,target_gene,n_cells,single_target_cells,double_target_cells,fraction_of_all_group_cells,fraction_of_noncontrol_group_cells
1,AHR,155,59,96,0.01249093399951648,0.013595298658012456
1,ARID1A,24,24,0,0.0019340801031509389,0.0021050785018857997
1,ARRDC3,59,59,0,0.0047546135869127246,0.005174984650469257
1,ATL1,31,31,0,0.002498186799903296,0.002719059731602491
1,BAK1,260,139,121,0.02095253445080184,0.02280501710376283
1,BCL2L11,134,66,68,0.010798613909259408,0.01175335496886238
1,BCORL1,62,62,0,0.004996373599806592,0.005438119463204982
1,BPGM,142,60,82,0.011443307276976388,0.012455047802824314
1,C19orf26,154,117,37,0.012410347328551858,0.013507587053767213
1,C3orf72,37,31,6,0.0029817068256910305,0.003245329357073941
1,CBFA2T3,152,79,73,0.012249173986622612,0.01333216384527673
1,CBL,241,79,162,0.01942138770247401,0.021138496623103235
1,CDKN1A,55,36,19,0.0044322669030542345,0.004824138233488291
1,CDKN1B,71,45,26,0.005721653638488194,0.006227523901412157
1,CDKN1C,36,15,21,0.0029011201547264084,0.0031576177528286993
1,CEBPA,174,66,108,0.014022080747844307,0.015261819138672045
1,CEBPB,225,65,160,0.01813200096704005,0.01973511095517937
1,CEBPE,601,116,485,0.048432589249738096,0.05271467415139023
1,CELF2,59,59,0,0.0047546135869127246,0.005174984650469257
1,CITED1,17,17,0,0.0013699734063985817,0.001491097272169108
1,CKS1B,17,17,0,0.0013699734063985817,0.001491097272169108
1,CLDN6,101,74,27,0.008139253767426868,0.008858872028769406
1,CNN1,363,87,276,0.02925296156015795,0.03183931234102272
1,CNNM4,52,52,0,0.004190506890160367,0.004561003420752566
1,COL1A1,37,37,0,0.0029817068256910305,0.003245329357073941
1,COL2A1,97,63,34,0.007816907083568378,0.00850802561178844
1,CSRNP1,43,43,0,0.0034652268514787656,0.0037715989825453907
1,DLX2,104,85,19,0.008381013780320735,0.009122006841505131
1,DUSP9,371,86,285,0.02989765492787493,0.03254100517498465
1,EGR1,38,38,0,0.003062293496655653,0.0033330409613191825
1,ELMSAN1,320,107,213,0.025787734708679184,0.028067713358477325
1,ETS2,624,128,496,0.05028608268192441,0.05473204104903079
1,FEV,210,89,121,0.016923200902570715,0.018419436891500746
1,FOSB,244,65,179,0.01966314771536788,0.021401631435838963
1,FOXA1,282,122,160,0.02272544121202353,0.024734672397158142
1,FOXA3,146,51,95,0.011765653960834878,0.01280589421980528
1,FOXF1,205,100,105,0.016520267547747602,0.01798087887027454
1,FOXL2,257,67,190,0.02071077443790797,0.022541882291027104
1,FOXO4,28,28,0,0.0022564267870094287,0.002455924918866766
1,GLB1L2,46,46,0,0.0037069868643726327,0.004034733795281116
1,HES7,20,20,0,0.001611733419292449,0.0017542320849048328
1,HK2,32,32,0,0.0025787734708679184,0.0028067713358477324
1,HNF4A,32,32,0,0.0025787734708679184,0.0028067713358477324
1,HOXA13,26,26,0,0.0020952534450801837,0.002280501710376283
1,HOXB9,196,83,113,0.015794987509066,0.017191474432067363
1,HOXC13,130,61,69,0.01047626722540092,0.011402508551881414
1,IER5L,140,54,86,0.011282133935047144,0.01227962459433383
1,IGDCC3,282,74,208,0.02272544121202353,0.024734672397158142
1,IKZF3,268,92,176,0.021597227818518815,0.02350670993772476
1,IRF1,107,41,66,0.008622773793214602,0.009385141654240856
1,ISL2,95,61,34,0.0076557337416391326,0.008332602403297956
1,JUN,52,40,12,0.004190506890160367,0.004561003420752566
1,KIAA1804,29,29,0,0.0023370134579740512,0.002543636523112008
1,KIF18B,41,25,16,0.0033040535095495206,0.0035961757740549075
1,KIF2C,74,58,16,0.005963413651382061,0.006490658714147882
1,KLF1,788,248,540,0.06350229672012249,0.06911674414525042
1,KMT2A,26,26,0,0.0020952534450801837,0.002280501710376283
1,LHX1,137,59,78,0.011040373922153277,0.012016489781598106
1,LYL1,145,44,101,0.011685067289870255,0.012718182615560038
1,MAML2,64,64,0,0.005157546941735837,0.005613542671695465
1,MAP2K3,247,58,189,0.019904907728261746,0.021664766248574687
1,MAP2K6,329,107,222,0.026513014747360786,0.0288571177966845
1,MAP4K3,52,52,0,0.004190506890160367,0.004561003420752566
1,MAP4K5,40,40,0,0.003223466838584898,0.0035084641698096657
1,MAP7D1,154,96,58,0.012410347328551858,0.013507587053767213
1,MAPK1,447,87,360,0.036022241921186235,0.039207087097623015
1,MEIS1,112,92,20,0.009025707148037715,0.009823699675467064
1,MIDN,28,28,0,0.0022564267870094287,0.002455924918866766
1,NCL,37,37,0,0.0029817068256910305,0.003245329357073941
1,NIT1,22,22,0,0.0017729067612216938,0.0019296552933953162
1,OSR2,277,92,185,0.02232250785720042,0.024296114375931935
1,PLK4,23,9,14,0.0018534934321863164,0.002017366897640558
1,POU3F2,115,41,74,0.009267467160931582,0.01008683448820279
1,PRDM1,69,45,24,0.005560480296558949,0.0060521006929216735
1,PRTG,255,71,184,0.020549601095978726,0.022366459082536618
1,PTPN1,38,38,0,0.003062293496655653,0.0033330409613191825
1,PTPN12,482,45,437,0.03884277540494802,0.04227699324620647
1,PTPN13,30,30,0,0.0024176001289386738,0.0026313481273572492
1,PTPN9,163,42,121,0.01313562736723346,0.014296991491974389
1,RHOXF2BB,86,41,45,0.006930453702957531,0.007543197965090781
1,RREB1,47,47,0,0.0037875735353372552,0.004122445399526357
1,RUNX1T1,220,92,128,0.017729067612216938,0.019296552933953163
1,S1PR2,105,62,43,0.008461600451285358,0.009209718445750373
1,SAMD1,200,56,144,0.01611733419292449,0.01754232084904833
1,SET,338,105,233,0.027238294786042387,0.029646522234891677
1,SGK1,170,58,112,0.013699734063985817,0.01491097272169108
1,SLC38A2,86,40,46,0.006930453702957531,0.007543197965090781
1,SLC4A1,103,103,0,0.008300427109356112,0.00903429523725989
1,SLC6A9,61,61,0,0.00491578692884197,0.005350407858959741
