target_gene,1,2,3,4,5,6,7,8
AHR,155,125,162,125,133,144,152,159
ARID1A,24,25,21,29,25,14,23,21
ARRDC3,59,47,50,54,48,44,52,51
ATL1,31,26,44,36,44,39,46,39
BAK1,260,244,246,208,232,221,256,247
BCL2L11,134,133,113,120,115,122,126,135
BCORL1,62,54,63,52,51,54,53,67
BPGM,142,100,131,102,114,99,116,112
C19orf26,154,151,118,102,107,122,133,137
C3orf72,37,38,39,32,31,24,37,28
CBFA2T3,152,108,125,107,120,132,124,127
CBL,241,254,223,204,229,243,219,236
CDKN1A,55,62,56,41,53,61,62,63
CDKN1B,71,57,79,61,74,64,95,89
CDKN1C,36,39,37,35,42,41,46,48
CEBPA,174,165,178,178,161,171,188,182
CEBPB,225,190,212,209,197,240,193,229
CEBPE,601,574,629,601,585,564,645,633
CELF2,59,35,51,58,40,47,49,49
CITED1,17,15,21,22,23,20,24,27
CKS1B,17,34,30,22,22,19,23,22
CLDN6,101,93,85,98,93,95,104,90
CNN1,363,367,347,322,308,346,326,348
CNNM4,52,44,47,53,54,46,45,35
COL1A1,37,29,40,29,34,24,34,30
COL2A1,97,75,94,86,101,89,89,94
CSRNP1,43,51,51,43,31,39,51,45
DLX2,104,92,101,114,98,89,105,84
DUSP9,371,338,337,337,328,296,331,318
EGR1,38,28,37,29,28,35,32,34
ELMSAN1,320,312,276,267,269,296,303,297
ETS2,624,623,642,575,601,581,642,625
FEV,210,178,196,184,199,189,209,217
FOSB,244,235,258,227,200,242,252,253
FOXA1,282,248,223,198,239,238,264,255
FOXA3,146,149,144,154,139,146,127,145
FOXF1,205,178,185,174,150,184,182,186
FOXL2,257,241,246,187,201,226,210,237
FOXO4,28,20,13,26,27,23,26,26
GLB1L2,46,50,52,49,36,39,56,50
HES7,20,17,17,13,18,9,15,13
HK2,32,27,34,33,33,29,36,25
HNF4A,32,26,20,25,26,29,22,22
HOXA13,26,25,45,17,34,18,30,35
HOXB9,196,193,187,173,192,177,164,157
HOXC13,130,134,108,85,85,113,103,128
IER5L,140,116,101,112,89,116,92,108
IGDCC3,282,225,243,231,243,266,215,252
IKZF3,268,226,242,225,218,219,258,254
IRF1,107,87,97,64,75,93,83,92
ISL2,95,83,79,98,113,101,99,89
JUN,52,56,45,30,39,41,53,41
KIAA1804,29,22,33,16,29,31,28,24
KIF18B,41,44,34,36,31,30,43,36
KIF2C,74,77,75,79,68,77,67,84
KLF1,788,610,657,628,595,623,676,631
KMT2A,26,23,31,18,22,26,21,18
LHX1,137,131,97,89,105,117,96,117
LYL1,145,124,138,150,124,147,111,127
MAML2,64,84,48,68,64,60,59,61
MAP2K3,247,246,241,251,226,214,229,263
MAP2K6,329,251,321,272,249,276,276,305
MAP4K3,52,42,36,37,30,25,35,42
MAP4K5,40,46,48,25,39,26,45,31
MAP7D1,154,147,154,118,137,147,139,150
MAPK1,447,399,409,372,417,448,414,421
MEIS1,112,125,102,93,106,104,115,102
MIDN,28,38,28,27,33,23,30,49
NCL,37,27,24,18,23,23,22,23
NIT1,22,18,24,15,27,23,18,18
OSR2,277,319,291,251,256,312,313,311
PLK4,23,23,25,15,20,20,20,17
POU3F2,115,91,100,94,108,94,101,97
PRDM1,69,38,47,35,49,51,41,52
PRTG,255,214,271,198,208,227,206,290
PTPN1,38,36,40,60,30,40,46,52
PTPN12,482,462,452,426,423,450,448,462
PTPN13,30,38,23,31,26,30,29,19
PTPN9,163,137,144,152,152,136,149,141
RHOXF2BB,86,103,103,95,89,83,104,99
RREB1,47,33,34,27,30,27,48,35
RUNX1T1,220,216,212,225,193,177,210,208
S1PR2,105,108,92,85,81,89,100,98
SAMD1,200,152,183,162,144,175,189,189
SET,338,290,339,302,302,283,312,328
SGK1,170,175,149,158,151,145,185,155
SLC38A2,86,83,67,73,54,59,69,86
SLC4A1,103,101,124,108,91,107,117,102
SLC6A9,61,55,63,53,33,63,64,49
SNAI1,169,158,172,152,138,142,153,156
SPI1,115,118,116,101,93,116,132,132
STIL,44,41,48,39,34,32,49,47
TBX2,241,234,213,224,203,234,247,224
TBX3,249,205,196,224,208,232,243,214
TGFBR2,384,378,323,337,312,375,330,366
TMSB4X,106,94,83,67,90,77,104,108
TP73,29,26,30,32,20,25,25,31
TSC22D1,43,41,53,39,44,56,48,52
UBASH3A,248,184,201,176,171,184,206,191
UBASH3B,642,574,570,456,515,521,532,551
ZBTB1,125,138,135,115,137,129,138,132
ZBTB10,88,87,97,76,80,86,93,88
ZBTB25,186,184,189,140,141,177,181,177
ZC3HAV1,174,211,208,145,165,178,176,192
ZNF318,117,77,111,73,72,80,106,102
