target_gene,gene_id,measured_in_X,cells_single,cells_combinatorial,cells_any,n_original_labels
AHR,ENSG00000106546,True,479,676,1155,3
ARID1A,ENSG00000117713,True,182,0,182,1
ARRDC3,ENSG00000113369,True,405,0,405,1
ATL1,ENSG00000198513,True,305,0,305,1
BAK1,ENSG00000030110,True,1171,743,1914,5
BCL2L11,ENSG00000153094,True,463,535,998,3
BCORL1,ENSG00000085185,True,456,0,456,1
BPGM,ENSG00000172331,True,393,523,916,3
C19orf26,ENSG00000099625,True,750,274,1024,3
C3orf72,ENSG00000206262,True,217,49,266,2
CBFA2T3,ENSG00000129993,True,531,464,995,5
CBL,ENSG00000110395,True,538,1311,1849,7
CDKN1A,ENSG00000124762,True,275,178,453,4
CDKN1B,ENSG00000111276,True,413,177,590,4
CDKN1C,ENSG00000129757,True,165,159,324,3
CEBPA,ENSG00000245848,True,580,817,1397,7
CEBPB,ENSG00000172216,True,422,1273,1695,10
CEBPE,ENSG00000092067,True,1039,3793,4832,13
CELF2,ENSG00000048740,True,388,0,388,1
CITED1,ENSG00000125931,True,169,0,169,1
CKS1B,ENSG00000173207,True,189,0,189,1
CLDN6,ENSG00000184697,True,544,215,759,3
CNN1,ENSG00000130176,True,636,2091,2727,8
CNNM4,ENSG00000158158,True,376,0,376,1
COL1A1,ENSG00000108821,True,257,0,257,1
COL2A1,ENSG00000139219,True,474,251,725,3
CSRNP1,ENSG00000144655,True,354,0,354,1
DLX2,ENSG00000115844,True,606,181,787,4
DUSP9,ENSG00000130829,True,662,1994,2656,7
EGR1,ENSG00000120738,True,261,0,261,1
ELMSAN1,ENSG00000156030,True,783,1557,2340,6
ETS2,ENSG00000157557,True,1031,3882,4913,11
FEV,ENSG00000163497,True,647,935,1582,6
FOSB,ENSG00000125740,True,502,1409,1911,7
FOXA1,ENSG00000129514,True,761,1186,1947,7
FOXA3,ENSG00000170608,True,409,741,1150,5
FOXF1,ENSG00000103241,True,715,729,1444,6
FOXL2,ENSG00000183770,True,544,1261,1805,10
FOXO4,ENSG00000184481,True,189,0,189,1
GLB1L2,ENSG00000149328,True,378,0,378,1
HES7,ENSG00000179111,True,122,0,122,1
HK2,ENSG00000159399,True,249,0,249,1
HNF4A,ENSG00000101076,True,202,0,202,1
HOXA13,ENSG00000106031,True,230,0,230,1
HOXB9,ENSG00000170689,True,612,827,1439,6
HOXC13,ENSG00000123364,True,343,543,886,3
IER5L,ENSG00000188483,True,327,547,874,3
IGDCC3,ENSG00000174498,True,507,1450,1957,8
IKZF3,ENSG00000161405,True,583,1327,1910,7
IRF1,ENSG00000125347,True,331,367,698,2
ISL2,ENSG00000159556,True,485,272,757,3
JUN,ENSG00000177606,True,235,122,357,3
KIAA1804,ENSG00000143674,True,212,0,212,1
KIF18B,ENSG00000186185,True,212,83,295,2
KIF2C,ENSG00000142945,True,518,83,601,3
KLF1,ENSG00000105610,True,1641,3567,5208,13
KMT2A,ENSG00000118058,True,185,0,185,1
LHX1,ENSG00000273706,True,342,547,889,2
LYL1,ENSG00000104903,True,360,706,1066,3
MAML2,ENSG00000184384,True,508,0,508,1
MAP2K3,ENSG00000034152,True,458,1459,1917,5
MAP2K6,ENSG00000108984,True,741,1538,2279,7
MAP4K3,ENSG00000011566,True,299,0,299,1
MAP4K5,ENSG00000012983,True,300,0,300,1
MAP7D1,ENSG00000116871,True,635,511,1146,4
MAPK1,ENSG00000100030,True,660,2667,3327,10
MEIS1,ENSG00000143995,True,682,177,859,3
MIDN,ENSG00000167470,True,256,0,256,1
NCL,ENSG00000115053,True,197,0,197,1
NIT1,ENSG00000158793,True,165,0,165,1
OSR2,ENSG00000164920,True,858,1472,2330,6
PLK4,ENSG00000142731,True,97,66,163,2
POU3F2,ENSG00000184486,True,312,488,800,3
PRDM1,ENSG00000057657,True,273,109,382,2
PRTG,ENSG00000166450,True,581,1288,1869,7
PTPN1,ENSG00000196396,True,342,0,342,1
PTPN12,ENSG00000127947,True,358,3247,3605,14
PTPN13,ENSG00000163629,True,226,0,226,1
PTPN9,ENSG00000169410,True,363,811,1174,5
RHOXF2BB,ENSG00000203989,True,290,472,762,3
RREB1,ENSG00000124782,True,281,0,281,1
RUNX1T1,ENSG00000079102,True,631,1030,1661,3
S1PR2,ENSG00000267534,True,446,312,758,2
SAMD1,ENSG00000141858,True,430,964,1394,7
SET,ENSG00000119335,True,790,1704,2494,6
SGK1,ENSG00000118515,True,446,842,1288,4
SLC38A2,ENSG00000134294,True,280,297,577,2
SLC4A1,ENSG00000004939,True,853,0,853,1
SLC6A9,ENSG00000196517,True,441,0,441,1
SNAI1,ENSG00000124216,True,380,860,1240,7
SPI1,ENSG00000066336,True,506,417,923,4
STIL,ENSG00000123473,True,268,66,334,3
TBX2,ENSG00000121068,True,564,1256,1820,4
TBX3,ENSG00000135111,True,559,1212,1771,4
TGFBR2,ENSG00000163513,True,537,2268,2805,11
TMSB4X,ENSG00000205542,True,462,267,729,2
TP73,ENSG00000078900,True,218,0,218,1
TSC22D1,ENSG00000102804,True,376,0,376,1
UBASH3A,ENSG00000160185,True,686,875,1561,6
UBASH3B,ENSG00000154127,True,983,3378,4361,12
ZBTB1,ENSG00000126804,True,602,447,1049,4
ZBTB10,ENSG00000205189,True,145,550,695,5
ZBTB25,ENSG00000089775,True,590,785,1375,6
ZC3HAV1,ENSG00000105939,True,436,1013,1449,4
ZNF318,ENSG00000171467,True,541,197,738,2
