target_gene,gene_id,gene_index,effect,conditional_cell_sampling_se,ci95_low,ci95_high,positive_lane_fraction,same_sign_lane_fraction,sign,minimum_lane_n,se_undefined_lane_n_lt_2,significance,interpretation
AHR,ENSG00000106546,1869,0.30885528019857367,0.022264781982480344,0.2652163075129122,0.35249425288423514,1.0,1.0,positive,48,False,not_estimable_independent_bioreplicates_absent,normalized_own_target_effect_not_molecular_validation
ARID1A,ENSG00000117713,98,0.1283049302192824,0.044110194137582354,0.041848949709621,0.21476091072894382,0.875,0.875,positive,14,False,not_estimable_independent_bioreplicates_absent,normalized_own_target_effect_not_molecular_validation
ARRDC3,ENSG00000113369,1437,0.11113905752002903,0.015389627631104056,0.08097538736306509,0.14130272767699298,1.0,1.0,positive,44,False,not_estimable_independent_bioreplicates_absent,normalized_own_target_effect_not_molecular_validation
ATL1,ENSG00000198513,3494,0.013688987219228389,0.006060874628033358,0.0018096729482830077,0.02556830149017377,0.625,0.625,positive,26,False,not_estimable_independent_bioreplicates_absent,normalized_own_target_effect_not_molecular_validation
BAK1,ENSG00000030110,1690,0.6209908468389449,0.016410392684014848,0.5888264771782759,0.6531552164996139,1.0,1.0,positive,136,False,not_estimable_independent_bioreplicates_absent,normalized_own_target_effect_not_molecular_validation
BCL2L11,ENSG00000153094,699,0.48334465935902915,0.0261431729685458,0.4321040403406794,0.5345852783773789,1.0,1.0,positive,50,False,not_estimable_independent_bioreplicates_absent,normalized_own_target_effect_not_molecular_validation
BCORL1,ENSG00000085185,2192,0.32039098197754945,0.02202755635719614,0.277216971517445,0.3635649924376539,1.0,1.0,positive,51,False,not_estimable_independent_bioreplicates_absent,normalized_own_target_effect_not_molecular_validation
BPGM,ENSG00000172331,2023,0.6217124568556349,0.03046359081745889,0.5620038188534155,0.6814210948578543,1.0,1.0,positive,42,False,not_estimable_independent_bioreplicates_absent,normalized_own_target_effect_not_molecular_validation
C19orf26,ENSG00000099625,4512,0.37174316129570706,0.01718579712165714,0.33805899893725905,0.40542732365415507,1.0,1.0,positive,71,False,not_estimable_independent_bioreplicates_absent,normalized_own_target_effect_not_molecular_validation
C3orf72,ENSG00000206262,1047,0.007636764294032257,0.0071088768946062945,-0.00629663441939608,0.021570163007460594,0.25,0.25,positive,20,False,not_estimable_independent_bioreplicates_absent,normalized_own_target_effect_not_molecular_validation
CBFA2T3,ENSG00000129993,3973,0.21099490312211405,0.02232303421292675,0.16724175606477762,0.25474805017945046,1.0,1.0,positive,49,False,not_estimable_independent_bioreplicates_absent,normalized_own_target_effect_not_molecular_validation
CBL,ENSG00000110395,2842,0.2912651673122847,0.021848846027812042,0.2484414290977731,0.33408890552679626,1.0,1.0,positive,56,False,not_estimable_independent_bioreplicates_absent,normalized_own_target_effect_not_molecular_validation
CDKN1A,ENSG00000124762,1699,0.844863270335963,0.04583604454447627,0.7550246230287895,0.9347019176431365,1.0,1.0,positive,29,False,not_estimable_independent_bioreplicates_absent,normalized_own_target_effect_not_molecular_validation
CDKN1B,ENSG00000111276,3095,0.0250831571641267,0.01376385076980751,-0.00189399034469602,0.05206030467294942,0.75,0.75,positive,44,False,not_estimable_independent_bioreplicates_absent,normalized_own_target_effect_not_molecular_validation
CDKN1C,ENSG00000129757,2611,0.5961029728509364,0.06890092112349407,0.46105716744888803,0.7311487782529847,1.0,1.0,positive,15,False,not_estimable_independent_bioreplicates_absent,normalized_own_target_effect_not_molecular_validation
CEBPA,ENSG00000245848,4654,0.7266498332106213,0.03757673933546983,0.6529994241131004,0.8003002423081421,1.0,1.0,positive,64,False,not_estimable_independent_bioreplicates_absent,normalized_own_target_effect_not_molecular_validation
CEBPB,ENSG00000172216,4463,0.3073012510433235,0.02919173374755592,0.2500854528981139,0.3645170491885331,1.0,1.0,positive,40,False,not_estimable_independent_bioreplicates_absent,normalized_own_target_effect_not_molecular_validation
CEBPE,ENSG00000092067,3460,1.7731680129245462,0.027767104452508577,1.7187444881976293,1.827591537651463,1.0,1.0,positive,116,False,not_estimable_independent_bioreplicates_absent,normalized_own_target_effect_not_molecular_validation
CELF2,ENSG00000048740,2883,-0.026584582997138465,0.029769089473104166,-0.08493199836442263,0.0317628323701457,0.5,0.5,negative,35,False,not_estimable_independent_bioreplicates_absent,normalized_own_target_effect_not_molecular_validation
CITED1,ENSG00000125931,2150,0.5763860312660906,0.05518925327579734,0.4682150948455278,0.6845569676866533,1.0,1.0,positive,15,False,not_estimable_independent_bioreplicates_absent,normalized_own_target_effect_not_molecular_validation
CKS1B,ENSG00000173207,331,-0.1964374861182639,0.050051736494387114,-0.2945388896472626,-0.09833608258926516,0.125,0.875,negative,17,False,not_estimable_independent_bioreplicates_absent,normalized_own_target_effect_not_molecular_validation
CLDN6,ENSG00000184697,3783,1.438215826147187,0.035069641149383816,1.3694793294943945,1.5069523227999793,1.0,1.0,positive,59,False,not_estimable_independent_bioreplicates_absent,normalized_own_target_effect_not_molecular_validation
CNN1,ENSG00000130176,4579,1.1736441065923762,0.027740355565203982,1.1192730096845764,1.228015203500176,1.0,1.0,positive,67,False,not_estimable_independent_bioreplicates_absent,normalized_own_target_effect_not_molecular_validation
CNNM4,ENSG00000158158,676,0.08083729156576211,0.014008034851952159,0.05338154325593587,0.10829303987558835,1.0,1.0,positive,35,False,not_estimable_independent_bioreplicates_absent,normalized_own_target_effect_not_molecular_validation
COL1A1,ENSG00000108821,4202,2.0229953416817112,0.06486496256841061,1.8958600150476266,2.150130668315796,1.0,1.0,positive,24,False,not_estimable_independent_bioreplicates_absent,normalized_own_target_effect_not_molecular_validation
COL2A1,ENSG00000139219,3149,1.9742074167337045,0.03679393826771238,1.902091297728988,2.046323535738421,1.0,1.0,positive,48,False,not_estimable_independent_bioreplicates_absent,normalized_own_target_effect_not_molecular_validation
CSRNP1,ENSG00000144655,917,0.2559882925117664,0.021910849156290425,0.2130430281654372,0.29893355685809564,1.0,1.0,positive,31,False,not_estimable_independent_bioreplicates_absent,normalized_own_target_effect_not_molecular_validation
DLX2,ENSG00000115844,761,0.4313631599495758,0.0224452162659427,0.3873705360683281,0.4753557838308235,1.0,1.0,positive,59,False,not_estimable_independent_bioreplicates_absent,normalized_own_target_effect_not_molecular_validation
DUSP9,ENSG00000130829,2223,1.4606745432809456,0.027245961128879302,1.4072724594683421,1.514076627093549,1.0,1.0,positive,65,False,not_estimable_independent_bioreplicates_absent,normalized_own_target_effect_not_molecular_validation
EGR1,ENSG00000120738,1489,0.11682623874768315,0.025877560302753056,0.06610622055428717,0.16754625694107914,1.0,1.0,positive,28,False,not_estimable_independent_bioreplicates_absent,normalized_own_target_effect_not_molecular_validation
ELMSAN1,ENSG00000156030,3544,0.21096231192785178,0.014225797160425071,0.18307974949341865,0.2388448743622849,1.0,1.0,positive,84,False,not_estimable_independent_bioreplicates_absent,normalized_own_target_effect_not_molecular_validation
ETS2,ENSG00000157557,4994,0.44555820974133126,0.016693882238940982,0.4128382005530069,0.4782782189296556,1.0,1.0,positive,111,False,not_estimable_independent_bioreplicates_absent,normalized_own_target_effect_not_molecular_validation
FEV,ENSG00000163497,838,1.669497221703063,0.02851622793559883,1.6136054149492893,1.7253890284568367,1.0,1.0,positive,64,False,not_estimable_independent_bioreplicates_absent,normalized_own_target_effect_not_molecular_validation
FOSB,ENSG00000125740,4735,0.05780040906472546,0.010263566281635,0.03768381915272086,0.07791699897673006,1.0,1.0,positive,52,False,not_estimable_independent_bioreplicates_absent,normalized_own_target_effect_not_molecular_validation
FOXA1,ENSG00000129514,3485,0.17903472605716575,0.013162303816148507,0.15323661057751467,0.20483284153681683,1.0,1.0,positive,69,False,not_estimable_independent_bioreplicates_absent,normalized_own_target_effect_not_molecular_validation
FOXA3,ENSG00000170608,4738,0.3418301637030201,0.026042141315812048,0.2907875667240285,0.3928727606820117,1.0,1.0,positive,38,False,not_estimable_independent_bioreplicates_absent,normalized_own_target_effect_not_molecular_validation
FOXF1,ENSG00000103241,3965,0.09236948682111358,0.009246826303961092,0.07424570726534985,0.11049326637687731,1.0,1.0,positive,71,False,not_estimable_independent_bioreplicates_absent,normalized_own_target_effect_not_molecular_validation
FOXL2,ENSG00000183770,1046,0.5863708454029611,0.027123488283693473,0.533208808366922,0.6395328824390003,1.0,1.0,positive,59,False,not_estimable_independent_bioreplicates_absent,normalized_own_target_effect_not_molecular_validation
FOXO4,ENSG00000184481,2144,0.5012329118509558,0.03989502379170261,0.4230386652192186,0.5794271584826929,1.0,1.0,positive,13,False,not_estimable_independent_bioreplicates_absent,normalized_own_target_effect_not_molecular_validation
GLB1L2,ENSG00000149328,2869,0.23175730690114793,0.02032133480518519,0.19192749068298495,0.2715871231193109,1.0,1.0,positive,36,False,not_estimable_independent_bioreplicates_absent,normalized_own_target_effect_not_molecular_validation
HES7,ENSG00000179111,4035,2.0670937201570276,0.12976588812648665,1.8127525794291137,2.3214348608849416,1.0,1.0,positive,9,False,not_estimable_independent_bioreplicates_absent,normalized_own_target_effect_not_molecular_validation
HK2,ENSG00000159399,658,0.6881206565916307,0.038978807718233296,0.6117221934638934,0.7645191197193679,1.0,1.0,positive,25,False,not_estimable_independent_bioreplicates_absent,normalized_own_target_effect_not_molecular_validation
HNF4A,ENSG00000101076,4445,0.3814612240380744,0.03802335932073018,0.30693543976944326,0.4559870083067056,1.0,1.0,positive,20,False,not_estimable_independent_bioreplicates_absent,normalized_own_target_effect_not_molecular_validation
HOXA13,ENSG00000106031,1880,0.36511006086514636,0.03925677048546428,0.2881667907136364,0.44205333101665634,1.0,1.0,positive,17,False,not_estimable_independent_bioreplicates_absent,normalized_own_target_effect_not_molecular_validation
HOXB9,ENSG00000170689,4186,0.9204520336922946,0.026270608807455083,0.8689616404296826,0.9719424269549065,1.0,1.0,positive,65,False,not_estimable_independent_bioreplicates_absent,normalized_own_target_effect_not_molecular_validation
HOXC13,ENSG00000123364,3198,0.44094595100653705,0.035837801192832155,0.370703860668586,0.511188041344488,1.0,1.0,positive,26,False,not_estimable_independent_bioreplicates_absent,normalized_own_target_effect_not_molecular_validation
IER5L,ENSG00000188483,2547,0.5538967555721288,0.03348454026602921,0.4882670566507116,0.619526454493546,1.0,1.0,positive,20,False,not_estimable_independent_bioreplicates_absent,normalized_own_target_effect_not_molecular_validation
IGDCC3,ENSG00000174498,3682,1.1408976096285195,0.02974736900038249,1.08259276638777,1.199202452869269,1.0,1.0,positive,49,False,not_estimable_independent_bioreplicates_absent,normalized_own_target_effect_not_molecular_validation
IKZF3,ENSG00000161405,4131,0.3321004043139932,0.023340311070304844,0.2863533946161957,0.37784741401179067,1.0,1.0,positive,63,False,not_estimable_independent_bioreplicates_absent,normalized_own_target_effect_not_molecular_validation
IRF1,ENSG00000125347,1477,0.6248027078769807,0.031884762059626294,0.5623085742401132,0.6872968415138482,1.0,1.0,positive,27,False,not_estimable_independent_bioreplicates_absent,normalized_own_target_effect_not_molecular_validation
ISL2,ENSG00000159556,3706,0.1524433612858619,0.01649236798305675,0.12011832003907066,0.18476840253265311,1.0,1.0,positive,45,False,not_estimable_independent_bioreplicates_absent,normalized_own_target_effect_not_molecular_validation
JUN,ENSG00000177606,188,0.7867531962700729,0.04782228915212298,0.6930215095319119,0.8804848830082339,1.0,1.0,positive,14,False,not_estimable_independent_bioreplicates_absent,normalized_own_target_effect_not_molecular_validation
KIAA1804,ENSG00000143674,526,0.19914349145276528,0.02441221849757445,0.15129554319751937,0.24699143970801118,1.0,1.0,positive,16,False,not_estimable_independent_bioreplicates_absent,normalized_own_target_effect_not_molecular_validation
KIF18B,ENSG00000186185,4165,0.29457922896419014,0.03314872452886603,0.22960772888761272,0.35955072904076757,1.0,1.0,positive,20,False,not_estimable_independent_bioreplicates_absent,normalized_own_target_effect_not_molecular_validation
